Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,525.0,921.0,622.0,299.0,165601.0,315.0,180.0,1.75,2021,Schoolcraft,76,0
,519.0,933.0,622.0,311.0,166618.0,321.0,179.0,1.8,2021,Schoolcraft,76,0
,528.0,958.0,629.0,329.0,165838.0,314.0,173.0,1.81,2021,Schoolcraft,76,0
,528.0,973.0,639.0,334.0,201276.0,381.0,207.0,1.84,2021,Schoolcraft,76,0
,543.0,1013.0,661.0,352.0,207578.0,382.0,205.0,1.87,2021,Schoolcraft,76,0
,530.0,996.0,653.0,343.0,206477.0,390.0,207.0,1.88,2021,Schoolcraft,76,0
,510.0,944.0,631.0,313.0,198272.0,389.0,210.0,1.85,2021,Schoolcraft,76,0
,503.0,931.0,620.0,311.0,207759.0,413.0,223.0,1.85,2021,Schoolcraft,76,0
,502.0,928.0,614.0,314.0,179405.0,357.0,193.0,1.85,2021,Schoolcraft,76,0
,507.0,927.0,616.0,311.0,203139.0,401.0,219.0,1.83,2021,Schoolcraft,76,0
,497.0,895.0,601.0,294.0,197665.0,398.0,221.0,1.8,2021,Schoolcraft,76,0
,499.0,887.0,598.0,289.0,200177.0,401.0,226.0,1.78,2021,Schoolcraft,76,0
,516.0,942.0,626.0,317.0,191650.0,372.0,204.0,1.83,2021,Schoolcraft,76,0
