Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,3716.0,7096.0,4254.0,2842.0,1248677.0,336.0,176.0,1.91,2021,St. Joseph,79,0
,3758.0,7163.0,4292.0,2871.0,1269660.0,338.0,177.0,1.91,2021,St. Joseph,79,0
,3793.0,7199.0,4339.0,2860.0,1269877.0,335.0,176.0,1.9,2021,St. Joseph,79,0
,3777.0,7148.0,4306.0,2842.0,1457054.0,386.0,204.0,1.89,2021,St. Joseph,79,0
,3773.0,7159.0,4317.0,2842.0,1464307.0,388.0,205.0,1.9,2021,St. Joseph,79,0
,3745.0,7097.0,4311.0,2786.0,1452509.0,388.0,205.0,1.9,2021,St. Joseph,79,0
,3630.0,6805.0,4160.0,2645.0,1395518.0,384.0,205.0,1.87,2021,St. Joseph,79,0
,3600.0,6754.0,4141.0,2613.0,1514794.0,421.0,224.0,1.88,2021,St. Joseph,79,0
,3614.0,6816.0,4170.0,2646.0,1370254.0,379.0,201.0,1.89,2021,St. Joseph,79,0
,3685.0,6973.0,4274.0,2699.0,1540514.0,418.0,221.0,1.89,2021,St. Joseph,79,0
,3727.0,7102.0,4331.0,2771.0,1570232.0,421.0,221.0,1.91,2021,St. Joseph,79,0
,3705.0,7017.0,4299.0,2718.0,1579219.0,426.0,225.0,1.89,2021,St. Joseph,79,0
,3710.0,7027.0,4266.0,2761.0,1427718.0,385.0,203.0,1.89,2021,St. Joseph,79,0
