Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,5360.0,10384.0,5994.0,4390.0,1819034.0,339.0,175.0,1.94,2021,Van Buren,81,0
,5412.0,10526.0,6071.0,4455.0,1860934.0,344.0,177.0,1.94,2021,Van Buren,81,0
,5522.0,10792.0,6239.0,4553.0,1882875.0,341.0,174.0,1.95,2021,Van Buren,81,0
,5521.0,10803.0,6270.0,4533.0,2201235.0,399.0,204.0,1.96,2021,Van Buren,81,0
,5568.0,10923.0,6353.0,4570.0,2231401.0,401.0,204.0,1.96,2021,Van Buren,81,0
,5561.0,10854.0,6338.0,4516.0,2218895.0,399.0,204.0,1.95,2021,Van Buren,81,0
,5388.0,10564.0,6143.0,4421.0,2157891.0,400.0,204.0,1.96,2021,Van Buren,81,0
,5303.0,10436.0,6033.0,4403.0,2318844.0,437.0,222.0,1.97,2021,Van Buren,81,0
,5289.0,10455.0,6019.0,4436.0,2040491.0,386.0,195.0,1.98,2021,Van Buren,81,0
,5322.0,10522.0,6057.0,4465.0,2299926.0,432.0,219.0,1.98,2021,Van Buren,81,0
,5361.0,10621.0,6106.0,4515.0,2311926.0,431.0,218.0,1.98,2021,Van Buren,81,0
,5312.0,10467.0,6051.0,4416.0,2315833.0,436.0,221.0,1.97,2021,Van Buren,81,0
,5410.0,10612.0,6140.0,4473.0,2138274.0,395.0,202.0,1.96,2021,Van Buren,81,0
