Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,502.0,904.0,580.0,324.0,222064.0,442.0,246.0,1.8,2022,Baraga,8,0
,516.0,962.0,604.0,358.0,227941.0,442.0,237.0,1.86,2022,Baraga,8,0
,522.0,973.0,611.0,362.0,236814.0,454.0,243.0,1.86,2022,Baraga,8,0
,530.0,963.0,615.0,348.0,229033.0,432.0,238.0,1.82,2022,Baraga,8,0
,526.0,953.0,607.0,346.0,236453.0,450.0,248.0,1.81,2022,Baraga,8,0
,542.0,986.0,626.0,360.0,240322.0,443.0,244.0,1.82,2022,Baraga,8,0
,558.0,1015.0,641.0,374.0,244984.0,439.0,241.0,1.82,2022,Baraga,8,0
,582.0,1060.0,669.0,391.0,248029.0,426.0,234.0,1.82,2022,Baraga,8,0
,574.0,1035.0,659.0,376.0,250670.0,437.0,242.0,1.8,2022,Baraga,8,0
,583.0,1062.0,671.0,391.0,254755.0,437.0,240.0,1.82,2022,Baraga,8,0
,581.0,1047.0,670.0,377.0,254429.0,438.0,243.0,1.8,2022,Baraga,8,0
,577.0,1044.0,665.0,379.0,252197.0,437.0,242.0,1.81,2022,Baraga,8,0
,549.0,1000.0,635.0,366.0,241474.0,440.0,241.0,1.82,2022,Baraga,8,0
