Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,11659.0,21973.0,13200.0,8773.0,5306813.0,455.0,242.0,1.88,2022,Calhoun,14,0
,11700.0,22094.0,13246.0,8848.0,5262748.0,450.0,238.0,1.89,2022,Calhoun,14,0
,11791.0,22286.0,13365.0,8921.0,5378226.0,456.0,241.0,1.89,2022,Calhoun,14,0
,11957.0,22686.0,13565.0,9121.0,5351141.0,448.0,236.0,1.9,2022,Calhoun,14,0
,12095.0,23069.0,13752.0,9317.0,5505450.0,455.0,239.0,1.91,2022,Calhoun,14,0
,12156.0,23166.0,13803.0,9363.0,5508867.0,453.0,238.0,1.91,2022,Calhoun,14,0
,12412.0,23561.0,14101.0,9460.0,5513965.0,444.0,234.0,1.9,2022,Calhoun,14,0
,12778.0,24379.0,14530.0,9849.0,5549759.0,434.0,228.0,1.91,2022,Calhoun,14,0
,12309.0,23498.0,13997.0,9501.0,5514078.0,448.0,235.0,1.91,2022,Calhoun,14,0
,12453.0,23799.0,14178.0,9621.0,5643905.0,453.0,237.0,1.91,2022,Calhoun,14,0
,12482.0,23761.0,14194.0,9567.0,5635114.0,451.0,237.0,1.9,2022,Calhoun,14,0
,12406.0,23514.0,14090.0,9424.0,5592461.0,451.0,238.0,1.9,2022,Calhoun,14,0
,12183.0,23149.0,13835.0,9314.0,5480211.0,450.0,237.0,1.9,2022,Calhoun,14,0
