Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,3370.0,5805.0,3815.0,1990.0,1408599.0,418.0,243.0,1.72,2022,Grand Traverse,29,0
,3366.0,5826.0,3819.0,2007.0,1395543.0,415.0,240.0,1.73,2022,Grand Traverse,29,0
,3369.0,5877.0,3827.0,2050.0,1426381.0,423.0,243.0,1.74,2022,Grand Traverse,29,0
,3471.0,6080.0,3952.0,2128.0,1441608.0,415.0,237.0,1.75,2022,Grand Traverse,29,0
,3494.0,6160.0,3976.0,2184.0,1490805.0,427.0,242.0,1.76,2022,Grand Traverse,29,0
,3492.0,6169.0,3968.0,2201.0,1483475.0,425.0,240.0,1.77,2022,Grand Traverse,29,0
,3515.0,6195.0,3990.0,2205.0,1463744.0,416.0,236.0,1.76,2022,Grand Traverse,29,0
,3635.0,6462.0,4127.0,2335.0,1463621.0,403.0,226.0,1.78,2022,Grand Traverse,29,0
,3417.0,6039.0,3868.0,2171.0,1438233.0,421.0,238.0,1.77,2022,Grand Traverse,29,0
,3422.0,6066.0,3863.0,2203.0,1436636.0,420.0,237.0,1.77,2022,Grand Traverse,29,0
,3440.0,6075.0,3868.0,2207.0,1440205.0,419.0,237.0,1.77,2022,Grand Traverse,29,0
,3445.0,6054.0,3886.0,2168.0,1426502.0,414.0,236.0,1.76,2022,Grand Traverse,29,0
,3453.0,6067.0,3913.0,2154.0,1442946.0,418.0,238.0,1.76,2022,Grand Traverse,29,0
