Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,211495.0,396991.0,229284.0,167707.0,96746687.0,457.0,244.0,1.88,2022,Wayne,83,0
,211393.0,398240.0,229558.0,168682.0,96272777.0,455.0,242.0,1.88,2022,Wayne,83,0
,212439.0,401613.0,230902.0,170711.0,98636774.0,464.0,246.0,1.89,2022,Wayne,83,0
,214779.0,406950.0,233638.0,173312.0,98418160.0,458.0,242.0,1.89,2022,Wayne,83,0
,215813.0,409557.0,234945.0,174612.0,100327520.0,465.0,245.0,1.9,2022,Wayne,83,0
,216449.0,410847.0,235679.0,175168.0,100175842.0,463.0,244.0,1.9,2022,Wayne,83,0
,221343.0,419711.0,240687.0,179024.0,99869340.0,451.0,238.0,1.9,2022,Wayne,83,0
,227248.0,430647.0,247016.0,183631.0,100253098.0,441.0,233.0,1.9,2022,Wayne,83,0
,217579.0,414170.0,236989.0,177181.0,99881839.0,459.0,241.0,1.9,2022,Wayne,83,0
,218774.0,416503.0,238528.0,177975.0,100873625.0,461.0,242.0,1.9,2022,Wayne,83,0
,219866.0,417906.0,239709.0,178197.0,101086438.0,460.0,242.0,1.9,2022,Wayne,83,0
,219352.0,415915.0,239170.0,176745.0,100944276.0,460.0,243.0,1.9,2022,Wayne,83,0
,217211.0,411588.0,236342.0,175245.0,99457198.0,458.0,242.0,1.89,2022,Wayne,83,0
