year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2024,October '23,409.0,716.0,492.0,224.0,114736.0,281.0,160.0,1.75,Alger,3,0
2024,November '23,410.0,734.0,496.0,238.0,116097.0,283.0,158.0,1.79,Alger,3,0
2024,December '23,417.0,746.0,504.0,242.0,122112.0,293.0,164.0,1.79,Alger,3,0
2024,January '24,420.0,752.0,514.0,238.0,116211.0,277.0,155.0,1.79,Alger,3,0
2024,February '24,423.0,758.0,522.0,236.0,119192.0,282.0,157.0,1.79,Alger,3,0
2024,March '24,428.0,776.0,530.0,246.0,120387.0,281.0,155.0,1.81,Alger,3,0
2024,April '24,425.0,750.0,523.0,227.0,119003.0,280.0,159.0,1.76,Alger,3,0
2024,May '24,420.0,739.0,522.0,217.0,120947.0,288.0,164.0,1.76,Alger,3,0
2024,June '24,419.0,741.0,519.0,222.0,119828.0,286.0,162.0,1.77,Alger,3,0
2024,July '24,423.0,752.0,522.0,230.0,120587.0,285.0,160.0,1.78,Alger,3,0
2024,August '24,417.0,749.0,516.0,233.0,116145.0,279.0,155.0,1.8,Alger,3,0
2024,September '24,418.0,749.0,509.0,240.0,117197.0,280.0,156.0,1.79,Alger,3,0
2024,October '23,409.0,716.0,492.0,224.0,114736.0,281.0,160.0,1.75,Alger,3,1
2024,November '23,410.0,734.0,496.0,238.0,116097.0,283.0,158.0,1.79,Alger,3,1
2024,December '23,417.0,746.0,504.0,242.0,122112.0,293.0,164.0,1.79,Alger,3,1
2024,January '24,420.0,752.0,514.0,238.0,116211.0,277.0,155.0,1.79,Alger,3,1
2024,February '24,423.0,758.0,522.0,236.0,119192.0,282.0,157.0,1.79,Alger,3,1
2024,March '24,428.0,776.0,530.0,246.0,120387.0,281.0,155.0,1.81,Alger,3,1
2024,April '24,425.0,750.0,523.0,227.0,119003.0,280.0,159.0,1.76,Alger,3,1
2024,May '24,420.0,739.0,522.0,217.0,120947.0,288.0,164.0,1.76,Alger,3,1
2024,June '24,419.0,741.0,519.0,222.0,119828.0,286.0,162.0,1.77,Alger,3,1
2024,July '24,423.0,752.0,522.0,230.0,120587.0,285.0,160.0,1.78,Alger,3,1
2024,August '24,417.0,749.0,516.0,233.0,116145.0,279.0,155.0,1.8,Alger,3,1
2024,September '24,418.0,749.0,509.0,240.0,117197.0,280.0,156.0,1.79,Alger,3,1
