year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2024,October '23,5307.0,10752.0,6143.0,4609.0,1790913.0,337.0,167.0,2.03,Allegan,4,0
2024,November '23,5311.0,10731.0,6163.0,4568.0,1799069.0,339.0,168.0,2.02,Allegan,4,0
2024,December '23,5334.0,10777.0,6202.0,4575.0,1826091.0,342.0,169.0,2.02,Allegan,4,0
2024,January '24,5354.0,10766.0,6205.0,4561.0,1786760.0,334.0,166.0,2.01,Allegan,4,0
2024,February '24,5386.0,10818.0,6253.0,4565.0,1809890.0,336.0,167.0,2.01,Allegan,4,0
2024,March '24,5411.0,10830.0,6305.0,4525.0,1813207.0,335.0,167.0,2.0,Allegan,4,0
2024,April '24,5405.0,10830.0,6311.0,4519.0,1812854.0,335.0,167.0,2.0,Allegan,4,0
2024,May '24,5358.0,10716.0,6243.0,4473.0,1795237.0,335.0,168.0,2.0,Allegan,4,0
2024,June '24,5350.0,10693.0,6227.0,4466.0,1787132.0,334.0,167.0,2.0,Allegan,4,0
2024,July '24,5379.0,10672.0,6223.0,4449.0,1812277.0,337.0,170.0,1.98,Allegan,4,0
2024,August '24,5450.0,10759.0,6267.0,4492.0,1795476.0,329.0,167.0,1.97,Allegan,4,0
2024,September '24,5427.0,10820.0,6257.0,4563.0,1815913.0,335.0,168.0,1.99,Allegan,4,0
2024,October '23,5307.0,10752.0,6143.0,4609.0,1790913.0,337.0,167.0,2.03,Allegan,4,1
2024,November '23,5311.0,10731.0,6163.0,4568.0,1799069.0,339.0,168.0,2.02,Allegan,4,1
2024,December '23,5334.0,10777.0,6202.0,4575.0,1826091.0,342.0,169.0,2.02,Allegan,4,1
2024,January '24,5354.0,10766.0,6205.0,4561.0,1786760.0,334.0,166.0,2.01,Allegan,4,1
2024,February '24,5386.0,10818.0,6253.0,4565.0,1809890.0,336.0,167.0,2.01,Allegan,4,1
2024,March '24,5411.0,10830.0,6305.0,4525.0,1813207.0,335.0,167.0,2.0,Allegan,4,1
2024,April '24,5405.0,10830.0,6311.0,4519.0,1812854.0,335.0,167.0,2.0,Allegan,4,1
2024,May '24,5358.0,10716.0,6243.0,4473.0,1795237.0,335.0,168.0,2.0,Allegan,4,1
2024,June '24,5350.0,10693.0,6227.0,4466.0,1787132.0,334.0,167.0,2.0,Allegan,4,1
2024,July '24,5379.0,10672.0,6223.0,4449.0,1812277.0,337.0,170.0,1.98,Allegan,4,1
2024,August '24,5450.0,10759.0,6267.0,4492.0,1795476.0,329.0,167.0,1.97,Allegan,4,1
2024,September '24,5427.0,10820.0,6257.0,4563.0,1815913.0,335.0,168.0,1.99,Allegan,4,1
