year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2024,October '23,2469.0,4237.0,2860.0,1377.0,689952.0,279.0,163.0,1.72,Alpena,5,0
2024,November '23,2456.0,4216.0,2842.0,1374.0,693068.0,282.0,164.0,1.72,Alpena,5,0
2024,December '23,2464.0,4245.0,2858.0,1387.0,696469.0,283.0,164.0,1.72,Alpena,5,0
2024,January '24,2450.0,4226.0,2840.0,1386.0,674670.0,275.0,160.0,1.72,Alpena,5,0
2024,February '24,2449.0,4248.0,2850.0,1398.0,667167.0,272.0,157.0,1.73,Alpena,5,0
2024,March '24,2452.0,4238.0,2849.0,1389.0,669683.0,273.0,158.0,1.73,Alpena,5,0
2024,April '24,2431.0,4228.0,2834.0,1394.0,672620.0,277.0,159.0,1.74,Alpena,5,0
2024,May '24,2394.0,4164.0,2795.0,1369.0,659997.0,276.0,159.0,1.74,Alpena,5,0
2024,June '24,2418.0,4224.0,2832.0,1392.0,659997.0,273.0,156.0,1.75,Alpena,5,0
2024,July '24,2440.0,4251.0,2862.0,1389.0,674977.0,277.0,159.0,1.74,Alpena,5,0
2024,August '24,2426.0,4199.0,2833.0,1366.0,665467.0,274.0,158.0,1.73,Alpena,5,0
2024,September '24,2427.0,4207.0,2844.0,1363.0,670391.0,276.0,159.0,1.73,Alpena,5,0
2024,October '23,2469.0,4237.0,2860.0,1377.0,689952.0,279.0,163.0,1.72,Alpena,5,1
2024,November '23,2456.0,4216.0,2842.0,1374.0,693068.0,282.0,164.0,1.72,Alpena,5,1
2024,December '23,2464.0,4245.0,2858.0,1387.0,696469.0,283.0,164.0,1.72,Alpena,5,1
2024,January '24,2450.0,4226.0,2840.0,1386.0,674670.0,275.0,160.0,1.72,Alpena,5,1
2024,February '24,2449.0,4248.0,2850.0,1398.0,667167.0,272.0,157.0,1.73,Alpena,5,1
2024,March '24,2452.0,4238.0,2849.0,1389.0,669683.0,273.0,158.0,1.73,Alpena,5,1
2024,April '24,2431.0,4228.0,2834.0,1394.0,672620.0,277.0,159.0,1.74,Alpena,5,1
2024,May '24,2394.0,4164.0,2795.0,1369.0,659997.0,276.0,159.0,1.74,Alpena,5,1
2024,June '24,2418.0,4224.0,2832.0,1392.0,659997.0,273.0,156.0,1.75,Alpena,5,1
2024,July '24,2440.0,4251.0,2862.0,1389.0,674977.0,277.0,159.0,1.74,Alpena,5,1
2024,August '24,2426.0,4199.0,2833.0,1366.0,665467.0,274.0,158.0,1.73,Alpena,5,1
2024,September '24,2427.0,4207.0,2844.0,1363.0,670391.0,276.0,159.0,1.73,Alpena,5,1
