year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2024,October '23,590.0,1050.0,679.0,371.0,182121.0,309.0,173.0,1.78,Baraga,8,0
2024,November '23,589.0,1028.0,672.0,356.0,180496.0,306.0,176.0,1.75,Baraga,8,0
2024,December '23,583.0,1012.0,663.0,349.0,181236.0,311.0,179.0,1.74,Baraga,8,0
2024,January '24,576.0,1008.0,659.0,349.0,170992.0,297.0,170.0,1.75,Baraga,8,0
2024,February '24,573.0,999.0,654.0,345.0,170977.0,298.0,171.0,1.74,Baraga,8,0
2024,March '24,573.0,1004.0,659.0,345.0,169938.0,297.0,169.0,1.75,Baraga,8,0
2024,April '24,577.0,1010.0,666.0,344.0,172285.0,299.0,171.0,1.75,Baraga,8,0
2024,May '24,581.0,1035.0,669.0,366.0,175667.0,302.0,170.0,1.78,Baraga,8,0
2024,June '24,577.0,1031.0,665.0,366.0,175136.0,304.0,170.0,1.79,Baraga,8,0
2024,July '24,591.0,1058.0,676.0,382.0,175370.0,297.0,166.0,1.79,Baraga,8,0
2024,August '24,589.0,1053.0,677.0,376.0,175115.0,297.0,166.0,1.79,Baraga,8,0
2024,September '24,577.0,1039.0,667.0,372.0,171813.0,298.0,165.0,1.8,Baraga,8,0
2024,October '23,590.0,1050.0,679.0,371.0,182121.0,309.0,173.0,1.78,Baraga,8,1
2024,November '23,589.0,1028.0,672.0,356.0,180496.0,306.0,176.0,1.75,Baraga,8,1
2024,December '23,583.0,1012.0,663.0,349.0,181236.0,311.0,179.0,1.74,Baraga,8,1
2024,January '24,576.0,1008.0,659.0,349.0,170992.0,297.0,170.0,1.75,Baraga,8,1
2024,February '24,573.0,999.0,654.0,345.0,170977.0,298.0,171.0,1.74,Baraga,8,1
2024,March '24,573.0,1004.0,659.0,345.0,169938.0,297.0,169.0,1.75,Baraga,8,1
2024,April '24,577.0,1010.0,666.0,344.0,172285.0,299.0,171.0,1.75,Baraga,8,1
2024,May '24,581.0,1035.0,669.0,366.0,175667.0,302.0,170.0,1.78,Baraga,8,1
2024,June '24,577.0,1031.0,665.0,366.0,175136.0,304.0,170.0,1.79,Baraga,8,1
2024,July '24,591.0,1058.0,676.0,382.0,175370.0,297.0,166.0,1.79,Baraga,8,1
2024,August '24,589.0,1053.0,677.0,376.0,175115.0,297.0,166.0,1.79,Baraga,8,1
2024,September '24,577.0,1039.0,667.0,372.0,171813.0,298.0,165.0,1.8,Baraga,8,1
