year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2024,October '23,1048.0,1855.0,1199.0,656.0,300820.0,287.0,162.0,1.77,Charlevoix,16,0
2024,November '23,1043.0,1847.0,1192.0,655.0,304433.0,292.0,165.0,1.77,Charlevoix,16,0
2024,December '23,1029.0,1853.0,1192.0,661.0,308632.0,300.0,167.0,1.8,Charlevoix,16,0
2024,January '24,1038.0,1875.0,1196.0,679.0,295318.0,285.0,158.0,1.81,Charlevoix,16,0
2024,February '24,1062.0,1910.0,1219.0,691.0,301031.0,283.0,158.0,1.8,Charlevoix,16,0
2024,March '24,1054.0,1891.0,1206.0,685.0,299527.0,284.0,158.0,1.79,Charlevoix,16,0
2024,April '24,1053.0,1914.0,1220.0,694.0,301279.0,286.0,157.0,1.82,Charlevoix,16,0
2024,May '24,1040.0,1902.0,1205.0,697.0,301738.0,290.0,159.0,1.83,Charlevoix,16,0
2024,June '24,1029.0,1889.0,1192.0,697.0,305450.0,297.0,162.0,1.84,Charlevoix,16,0
2024,July '24,1022.0,1886.0,1185.0,701.0,312921.0,306.0,166.0,1.85,Charlevoix,16,0
2024,August '24,1020.0,1857.0,1172.0,685.0,302042.0,296.0,163.0,1.82,Charlevoix,16,0
2024,September '24,1000.0,1808.0,1154.0,654.0,298364.0,298.0,165.0,1.81,Charlevoix,16,0
2024,October '23,1048.0,1855.0,1199.0,656.0,300820.0,287.0,162.0,1.77,Charlevoix,16,1
2024,November '23,1043.0,1847.0,1192.0,655.0,304433.0,292.0,165.0,1.77,Charlevoix,16,1
2024,December '23,1029.0,1853.0,1192.0,661.0,308632.0,300.0,167.0,1.8,Charlevoix,16,1
2024,January '24,1038.0,1875.0,1196.0,679.0,295318.0,285.0,158.0,1.81,Charlevoix,16,1
2024,February '24,1062.0,1910.0,1219.0,691.0,301031.0,283.0,158.0,1.8,Charlevoix,16,1
2024,March '24,1054.0,1891.0,1206.0,685.0,299527.0,284.0,158.0,1.79,Charlevoix,16,1
2024,April '24,1053.0,1914.0,1220.0,694.0,301279.0,286.0,157.0,1.82,Charlevoix,16,1
2024,May '24,1040.0,1902.0,1205.0,697.0,301738.0,290.0,159.0,1.83,Charlevoix,16,1
2024,June '24,1029.0,1889.0,1192.0,697.0,305450.0,297.0,162.0,1.84,Charlevoix,16,1
2024,July '24,1022.0,1886.0,1185.0,701.0,312921.0,306.0,166.0,1.85,Charlevoix,16,1
2024,August '24,1020.0,1857.0,1172.0,685.0,302042.0,296.0,163.0,1.82,Charlevoix,16,1
2024,September '24,1000.0,1808.0,1154.0,654.0,298364.0,298.0,165.0,1.81,Charlevoix,16,1
