year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2024,October '23,1766.0,3219.0,2129.0,1090.0,506081.0,287.0,157.0,1.82,Cheboygan,17,0
2024,November '23,1767.0,3226.0,2132.0,1094.0,509894.0,289.0,158.0,1.83,Cheboygan,17,0
2024,December '23,1812.0,3347.0,2202.0,1145.0,534040.0,295.0,160.0,1.85,Cheboygan,17,0
2024,January '24,1832.0,3374.0,2219.0,1155.0,530311.0,289.0,157.0,1.84,Cheboygan,17,0
2024,February '24,1836.0,3377.0,2233.0,1144.0,532266.0,290.0,158.0,1.84,Cheboygan,17,0
2024,March '24,1843.0,3381.0,2235.0,1146.0,531589.0,288.0,157.0,1.83,Cheboygan,17,0
2024,April '24,1851.0,3416.0,2257.0,1159.0,534839.0,289.0,157.0,1.85,Cheboygan,17,0
2024,May '24,1850.0,3398.0,2248.0,1150.0,527695.0,285.0,155.0,1.84,Cheboygan,17,0
2024,June '24,1817.0,3323.0,2196.0,1127.0,525529.0,289.0,158.0,1.83,Cheboygan,17,0
2024,July '24,1791.0,3225.0,2150.0,1075.0,515493.0,288.0,160.0,1.8,Cheboygan,17,0
2024,August '24,1767.0,3155.0,2128.0,1027.0,490367.0,278.0,155.0,1.79,Cheboygan,17,0
2024,September '24,1763.0,3162.0,2118.0,1044.0,491223.0,279.0,155.0,1.79,Cheboygan,17,0
2024,October '23,1766.0,3219.0,2129.0,1090.0,506081.0,287.0,157.0,1.82,Cheboygan,17,1
2024,November '23,1767.0,3226.0,2132.0,1094.0,509894.0,289.0,158.0,1.83,Cheboygan,17,1
2024,December '23,1812.0,3347.0,2202.0,1145.0,534040.0,295.0,160.0,1.85,Cheboygan,17,1
2024,January '24,1832.0,3374.0,2219.0,1155.0,530311.0,289.0,157.0,1.84,Cheboygan,17,1
2024,February '24,1836.0,3377.0,2233.0,1144.0,532266.0,290.0,158.0,1.84,Cheboygan,17,1
2024,March '24,1843.0,3381.0,2235.0,1146.0,531589.0,288.0,157.0,1.83,Cheboygan,17,1
2024,April '24,1851.0,3416.0,2257.0,1159.0,534839.0,289.0,157.0,1.85,Cheboygan,17,1
2024,May '24,1850.0,3398.0,2248.0,1150.0,527695.0,285.0,155.0,1.84,Cheboygan,17,1
2024,June '24,1817.0,3323.0,2196.0,1127.0,525529.0,289.0,158.0,1.83,Cheboygan,17,1
2024,July '24,1791.0,3225.0,2150.0,1075.0,515493.0,288.0,160.0,1.8,Cheboygan,17,1
2024,August '24,1767.0,3155.0,2128.0,1027.0,490367.0,278.0,155.0,1.79,Cheboygan,17,1
2024,September '24,1763.0,3162.0,2118.0,1044.0,491223.0,279.0,155.0,1.79,Cheboygan,17,1
