year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2024,October '23,3600.0,6628.0,4482.0,2146.0,1107985.0,308.0,167.0,1.84,Clare,19,0
2024,November '23,3574.0,6554.0,4445.0,2109.0,1105989.0,309.0,169.0,1.83,Clare,19,0
2024,December '23,3616.0,6593.0,4485.0,2108.0,1118364.0,309.0,170.0,1.82,Clare,19,0
2024,January '24,3613.0,6650.0,4490.0,2160.0,1104986.0,306.0,166.0,1.84,Clare,19,0
2024,February '24,3633.0,6675.0,4513.0,2162.0,1114277.0,307.0,167.0,1.84,Clare,19,0
2024,March '24,3631.0,6627.0,4494.0,2133.0,1106922.0,305.0,167.0,1.83,Clare,19,0
2024,April '24,3610.0,6608.0,4475.0,2133.0,1109810.0,307.0,168.0,1.83,Clare,19,0
2024,May '24,3617.0,6604.0,4467.0,2137.0,1105514.0,306.0,167.0,1.83,Clare,19,0
2024,June '24,3618.0,6591.0,4458.0,2133.0,1111866.0,307.0,169.0,1.82,Clare,19,0
2024,July '24,3587.0,6494.0,4408.0,2086.0,1109069.0,309.0,171.0,1.81,Clare,19,0
2024,August '24,3561.0,6446.0,4381.0,2065.0,1090005.0,306.0,169.0,1.81,Clare,19,0
2024,September '24,3561.0,6456.0,4390.0,2066.0,1088292.0,306.0,169.0,1.81,Clare,19,0
2024,October '23,3600.0,6628.0,4482.0,2146.0,1107985.0,308.0,167.0,1.84,Clare,19,1
2024,November '23,3574.0,6554.0,4445.0,2109.0,1105989.0,309.0,169.0,1.83,Clare,19,1
2024,December '23,3616.0,6593.0,4485.0,2108.0,1118364.0,309.0,170.0,1.82,Clare,19,1
2024,January '24,3613.0,6650.0,4490.0,2160.0,1104986.0,306.0,166.0,1.84,Clare,19,1
2024,February '24,3633.0,6675.0,4513.0,2162.0,1114277.0,307.0,167.0,1.84,Clare,19,1
2024,March '24,3631.0,6627.0,4494.0,2133.0,1106922.0,305.0,167.0,1.83,Clare,19,1
2024,April '24,3610.0,6608.0,4475.0,2133.0,1109810.0,307.0,168.0,1.83,Clare,19,1
2024,May '24,3617.0,6604.0,4467.0,2137.0,1105514.0,306.0,167.0,1.83,Clare,19,1
2024,June '24,3618.0,6591.0,4458.0,2133.0,1111866.0,307.0,169.0,1.82,Clare,19,1
2024,July '24,3587.0,6494.0,4408.0,2086.0,1109069.0,309.0,171.0,1.81,Clare,19,1
2024,August '24,3561.0,6446.0,4381.0,2065.0,1090005.0,306.0,169.0,1.81,Clare,19,1
2024,September '24,3561.0,6456.0,4390.0,2066.0,1088292.0,306.0,169.0,1.81,Clare,19,1
