year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2024,October '23,2690.0,5207.0,3113.0,2094.0,907819.0,337.0,174.0,1.94,Clinton,20,0
2024,November '23,2651.0,5124.0,3054.0,2070.0,888855.0,335.0,173.0,1.93,Clinton,20,0
2024,December '23,2647.0,5120.0,3051.0,2069.0,889687.0,336.0,174.0,1.93,Clinton,20,0
2024,January '24,2666.0,5152.0,3078.0,2074.0,879148.0,330.0,171.0,1.93,Clinton,20,0
2024,February '24,2661.0,5155.0,3064.0,2091.0,871844.0,328.0,169.0,1.94,Clinton,20,0
2024,March '24,2650.0,5079.0,3043.0,2036.0,851159.0,321.0,168.0,1.92,Clinton,20,0
2024,April '24,2600.0,5002.0,2984.0,2018.0,843759.0,325.0,169.0,1.92,Clinton,20,0
2024,May '24,2607.0,5005.0,2997.0,2008.0,859625.0,330.0,172.0,1.92,Clinton,20,0
2024,June '24,2609.0,5013.0,3003.0,2010.0,864583.0,331.0,172.0,1.92,Clinton,20,0
2024,July '24,2625.0,5106.0,3033.0,2073.0,882679.0,336.0,173.0,1.95,Clinton,20,0
2024,August '24,2628.0,5043.0,3031.0,2012.0,875600.0,333.0,174.0,1.92,Clinton,20,0
2024,September '24,2622.0,5058.0,3022.0,2036.0,869924.0,332.0,172.0,1.93,Clinton,20,0
2024,October '23,2690.0,5207.0,3113.0,2094.0,907819.0,337.0,174.0,1.94,Clinton,20,1
2024,November '23,2651.0,5124.0,3054.0,2070.0,888855.0,335.0,173.0,1.93,Clinton,20,1
2024,December '23,2647.0,5120.0,3051.0,2069.0,889687.0,336.0,174.0,1.93,Clinton,20,1
2024,January '24,2666.0,5152.0,3078.0,2074.0,879148.0,330.0,171.0,1.93,Clinton,20,1
2024,February '24,2661.0,5155.0,3064.0,2091.0,871844.0,328.0,169.0,1.94,Clinton,20,1
2024,March '24,2650.0,5079.0,3043.0,2036.0,851159.0,321.0,168.0,1.92,Clinton,20,1
2024,April '24,2600.0,5002.0,2984.0,2018.0,843759.0,325.0,169.0,1.92,Clinton,20,1
2024,May '24,2607.0,5005.0,2997.0,2008.0,859625.0,330.0,172.0,1.92,Clinton,20,1
2024,June '24,2609.0,5013.0,3003.0,2010.0,864583.0,331.0,172.0,1.92,Clinton,20,1
2024,July '24,2625.0,5106.0,3033.0,2073.0,882679.0,336.0,173.0,1.95,Clinton,20,1
2024,August '24,2628.0,5043.0,3031.0,2012.0,875600.0,333.0,174.0,1.92,Clinton,20,1
2024,September '24,2622.0,5058.0,3022.0,2036.0,869924.0,332.0,172.0,1.93,Clinton,20,1
