year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2024,October '23,1239.0,2213.0,1492.0,721.0,368869.0,298.0,167.0,1.79,Crawford,21,0
2024,November '23,1229.0,2207.0,1481.0,726.0,364004.0,296.0,165.0,1.8,Crawford,21,0
2024,December '23,1244.0,2246.0,1498.0,748.0,373877.0,301.0,166.0,1.81,Crawford,21,0
2024,January '24,1239.0,2231.0,1497.0,734.0,366339.0,296.0,164.0,1.8,Crawford,21,0
2024,February '24,1239.0,2205.0,1486.0,719.0,364788.0,294.0,165.0,1.78,Crawford,21,0
2024,March '24,1248.0,2244.0,1504.0,740.0,366739.0,294.0,163.0,1.8,Crawford,21,0
2024,April '24,1239.0,2216.0,1482.0,734.0,369222.0,298.0,167.0,1.79,Crawford,21,0
2024,May '24,1214.0,2159.0,1448.0,711.0,360396.0,297.0,167.0,1.78,Crawford,21,0
2024,June '24,1212.0,2138.0,1447.0,691.0,355578.0,293.0,166.0,1.76,Crawford,21,0
2024,July '24,1183.0,2081.0,1412.0,669.0,348938.0,295.0,168.0,1.76,Crawford,21,0
2024,August '24,1183.0,2067.0,1412.0,655.0,340890.0,288.0,165.0,1.75,Crawford,21,0
2024,September '24,1197.0,2089.0,1423.0,666.0,347558.0,290.0,166.0,1.75,Crawford,21,0
2024,October '23,1239.0,2213.0,1492.0,721.0,368869.0,298.0,167.0,1.79,Crawford,21,1
2024,November '23,1229.0,2207.0,1481.0,726.0,364004.0,296.0,165.0,1.8,Crawford,21,1
2024,December '23,1244.0,2246.0,1498.0,748.0,373877.0,301.0,166.0,1.81,Crawford,21,1
2024,January '24,1239.0,2231.0,1497.0,734.0,366339.0,296.0,164.0,1.8,Crawford,21,1
2024,February '24,1239.0,2205.0,1486.0,719.0,364788.0,294.0,165.0,1.78,Crawford,21,1
2024,March '24,1248.0,2244.0,1504.0,740.0,366739.0,294.0,163.0,1.8,Crawford,21,1
2024,April '24,1239.0,2216.0,1482.0,734.0,369222.0,298.0,167.0,1.79,Crawford,21,1
2024,May '24,1214.0,2159.0,1448.0,711.0,360396.0,297.0,167.0,1.78,Crawford,21,1
2024,June '24,1212.0,2138.0,1447.0,691.0,355578.0,293.0,166.0,1.76,Crawford,21,1
2024,July '24,1183.0,2081.0,1412.0,669.0,348938.0,295.0,168.0,1.76,Crawford,21,1
2024,August '24,1183.0,2067.0,1412.0,655.0,340890.0,288.0,165.0,1.75,Crawford,21,1
2024,September '24,1197.0,2089.0,1423.0,666.0,347558.0,290.0,166.0,1.75,Crawford,21,1
