year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2024,October '23,44593.0,82169.0,49541.0,32628.0,15470551.0,347.0,188.0,1.84,Genesee,26,0
2024,November '23,44380.0,81855.0,49297.0,32558.0,15436376.0,348.0,189.0,1.84,Genesee,26,0
2024,December '23,44547.0,81944.0,49475.0,32469.0,15528476.0,349.0,190.0,1.84,Genesee,26,0
2024,January '24,44546.0,81958.0,49516.0,32442.0,15266787.0,343.0,186.0,1.84,Genesee,26,0
2024,February '24,44648.0,82180.0,49664.0,32516.0,15270787.0,342.0,186.0,1.84,Genesee,26,0
2024,March '24,44450.0,81648.0,49479.0,32169.0,15149607.0,341.0,186.0,1.84,Genesee,26,0
2024,April '24,44117.0,81008.0,49105.0,31903.0,15076970.0,342.0,186.0,1.84,Genesee,26,0
2024,May '24,43888.0,80851.0,48873.0,31978.0,15104059.0,344.0,187.0,1.84,Genesee,26,0
2024,June '24,44094.0,81473.0,49183.0,32290.0,15138196.0,343.0,186.0,1.85,Genesee,26,0
2024,July '24,44028.0,81390.0,49096.0,32294.0,15257022.0,347.0,187.0,1.85,Genesee,26,0
2024,August '24,44196.0,81788.0,49281.0,32507.0,15181811.0,344.0,186.0,1.85,Genesee,26,0
2024,September '24,44470.0,82230.0,49603.0,32627.0,15457229.0,348.0,188.0,1.85,Genesee,26,0
2024,October '23,44593.0,82169.0,49541.0,32628.0,15470551.0,347.0,188.0,1.84,Genesee,26,1
2024,November '23,44380.0,81855.0,49297.0,32558.0,15436376.0,348.0,189.0,1.84,Genesee,26,1
2024,December '23,44547.0,81944.0,49475.0,32469.0,15528476.0,349.0,190.0,1.84,Genesee,26,1
2024,January '24,44546.0,81958.0,49516.0,32442.0,15266787.0,343.0,186.0,1.84,Genesee,26,1
2024,February '24,44648.0,82180.0,49664.0,32516.0,15270787.0,342.0,186.0,1.84,Genesee,26,1
2024,March '24,44450.0,81648.0,49479.0,32169.0,15149607.0,341.0,186.0,1.84,Genesee,26,1
2024,April '24,44117.0,81008.0,49105.0,31903.0,15076970.0,342.0,186.0,1.84,Genesee,26,1
2024,May '24,43888.0,80851.0,48873.0,31978.0,15104059.0,344.0,187.0,1.84,Genesee,26,1
2024,June '24,44094.0,81473.0,49183.0,32290.0,15138196.0,343.0,186.0,1.85,Genesee,26,1
2024,July '24,44028.0,81390.0,49096.0,32294.0,15257022.0,347.0,187.0,1.85,Genesee,26,1
2024,August '24,44196.0,81788.0,49281.0,32507.0,15181811.0,344.0,186.0,1.85,Genesee,26,1
2024,September '24,44470.0,82230.0,49603.0,32627.0,15457229.0,348.0,188.0,1.85,Genesee,26,1
