year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2024,October '23,3653.0,6343.0,4127.0,2216.0,1033503.0,283.0,163.0,1.74,Grand Traverse,29,0
2024,November '23,3651.0,6256.0,4103.0,2153.0,1028277.0,282.0,164.0,1.71,Grand Traverse,29,0
2024,December '23,3698.0,6371.0,4172.0,2199.0,1053941.0,285.0,165.0,1.72,Grand Traverse,29,0
2024,January '24,3778.0,6567.0,4269.0,2298.0,1075296.0,285.0,164.0,1.74,Grand Traverse,29,0
2024,February '24,3805.0,6592.0,4300.0,2292.0,1084691.0,285.0,165.0,1.73,Grand Traverse,29,0
2024,March '24,3835.0,6639.0,4335.0,2304.0,1086508.0,283.0,164.0,1.73,Grand Traverse,29,0
2024,April '24,3805.0,6559.0,4297.0,2262.0,1076582.0,283.0,164.0,1.72,Grand Traverse,29,0
2024,May '24,3806.0,6566.0,4301.0,2265.0,1084186.0,285.0,165.0,1.73,Grand Traverse,29,0
2024,June '24,3814.0,6628.0,4324.0,2304.0,1094207.0,287.0,165.0,1.74,Grand Traverse,29,0
2024,July '24,3787.0,6523.0,4290.0,2233.0,1097352.0,290.0,168.0,1.72,Grand Traverse,29,0
2024,August '24,3815.0,6598.0,4310.0,2288.0,1099077.0,288.0,167.0,1.73,Grand Traverse,29,0
2024,September '24,3794.0,6607.0,4285.0,2322.0,1099514.0,290.0,166.0,1.74,Grand Traverse,29,0
2024,October '23,3653.0,6343.0,4127.0,2216.0,1033503.0,283.0,163.0,1.74,Grand Traverse,29,1
2024,November '23,3651.0,6256.0,4103.0,2153.0,1028277.0,282.0,164.0,1.71,Grand Traverse,29,1
2024,December '23,3698.0,6371.0,4172.0,2199.0,1053941.0,285.0,165.0,1.72,Grand Traverse,29,1
2024,January '24,3778.0,6567.0,4269.0,2298.0,1075296.0,285.0,164.0,1.74,Grand Traverse,29,1
2024,February '24,3805.0,6592.0,4300.0,2292.0,1084691.0,285.0,165.0,1.73,Grand Traverse,29,1
2024,March '24,3835.0,6639.0,4335.0,2304.0,1086508.0,283.0,164.0,1.73,Grand Traverse,29,1
2024,April '24,3805.0,6559.0,4297.0,2262.0,1076582.0,283.0,164.0,1.72,Grand Traverse,29,1
2024,May '24,3806.0,6566.0,4301.0,2265.0,1084186.0,285.0,165.0,1.73,Grand Traverse,29,1
2024,June '24,3814.0,6628.0,4324.0,2304.0,1094207.0,287.0,165.0,1.74,Grand Traverse,29,1
2024,July '24,3787.0,6523.0,4290.0,2233.0,1097352.0,290.0,168.0,1.72,Grand Traverse,29,1
2024,August '24,3815.0,6598.0,4310.0,2288.0,1099077.0,288.0,167.0,1.73,Grand Traverse,29,1
2024,September '24,3794.0,6607.0,4285.0,2322.0,1099514.0,290.0,166.0,1.74,Grand Traverse,29,1
