year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2024,October '23,2892.0,5729.0,3508.0,2221.0,955371.0,330.0,167.0,1.98,Gratiot,30,0
2024,November '23,2852.0,5661.0,3453.0,2208.0,942905.0,331.0,167.0,1.98,Gratiot,30,0
2024,December '23,2866.0,5670.0,3465.0,2205.0,959370.0,335.0,169.0,1.98,Gratiot,30,0
2024,January '24,2870.0,5697.0,3479.0,2218.0,938783.0,327.0,165.0,1.99,Gratiot,30,0
2024,February '24,2867.0,5701.0,3483.0,2218.0,944916.0,330.0,166.0,1.99,Gratiot,30,0
2024,March '24,2850.0,5645.0,3457.0,2188.0,937574.0,329.0,166.0,1.98,Gratiot,30,0
2024,April '24,2858.0,5699.0,3470.0,2229.0,937712.0,328.0,165.0,1.99,Gratiot,30,0
2024,May '24,2849.0,5696.0,3462.0,2234.0,943406.0,331.0,166.0,2.0,Gratiot,30,0
2024,June '24,2894.0,5788.0,3516.0,2272.0,951267.0,329.0,164.0,2.0,Gratiot,30,0
2024,July '24,2852.0,5681.0,3464.0,2217.0,950666.0,333.0,167.0,1.99,Gratiot,30,0
2024,August '24,2875.0,5727.0,3492.0,2235.0,943915.0,328.0,165.0,1.99,Gratiot,30,0
2024,September '24,2906.0,5811.0,3521.0,2290.0,972884.0,335.0,167.0,2.0,Gratiot,30,0
2024,October '23,2892.0,5729.0,3508.0,2221.0,955371.0,330.0,167.0,1.98,Gratiot,30,1
2024,November '23,2852.0,5661.0,3453.0,2208.0,942905.0,331.0,167.0,1.98,Gratiot,30,1
2024,December '23,2866.0,5670.0,3465.0,2205.0,959370.0,335.0,169.0,1.98,Gratiot,30,1
2024,January '24,2870.0,5697.0,3479.0,2218.0,938783.0,327.0,165.0,1.99,Gratiot,30,1
2024,February '24,2867.0,5701.0,3483.0,2218.0,944916.0,330.0,166.0,1.99,Gratiot,30,1
2024,March '24,2850.0,5645.0,3457.0,2188.0,937574.0,329.0,166.0,1.98,Gratiot,30,1
2024,April '24,2858.0,5699.0,3470.0,2229.0,937712.0,328.0,165.0,1.99,Gratiot,30,1
2024,May '24,2849.0,5696.0,3462.0,2234.0,943406.0,331.0,166.0,2.0,Gratiot,30,1
2024,June '24,2894.0,5788.0,3516.0,2272.0,951267.0,329.0,164.0,2.0,Gratiot,30,1
2024,July '24,2852.0,5681.0,3464.0,2217.0,950666.0,333.0,167.0,1.99,Gratiot,30,1
2024,August '24,2875.0,5727.0,3492.0,2235.0,943915.0,328.0,165.0,1.99,Gratiot,30,1
2024,September '24,2906.0,5811.0,3521.0,2290.0,972884.0,335.0,167.0,2.0,Gratiot,30,1
