year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2024,October '23,3120.0,5926.0,3736.0,2190.0,986088.0,316.0,166.0,1.9,Hillsdale,31,0
2024,November '23,3144.0,5948.0,3749.0,2199.0,998366.0,318.0,168.0,1.89,Hillsdale,31,0
2024,December '23,3125.0,5923.0,3713.0,2210.0,994412.0,318.0,168.0,1.9,Hillsdale,31,0
2024,January '24,3132.0,5909.0,3720.0,2189.0,968444.0,309.0,164.0,1.89,Hillsdale,31,0
2024,February '24,3100.0,5835.0,3696.0,2139.0,947029.0,305.0,162.0,1.88,Hillsdale,31,0
2024,March '24,3094.0,5793.0,3689.0,2104.0,954141.0,308.0,165.0,1.87,Hillsdale,31,0
2024,April '24,3081.0,5841.0,3676.0,2165.0,949774.0,308.0,163.0,1.9,Hillsdale,31,0
2024,May '24,3059.0,5783.0,3658.0,2125.0,940430.0,307.0,163.0,1.89,Hillsdale,31,0
2024,June '24,3068.0,5834.0,3664.0,2170.0,953149.0,311.0,163.0,1.9,Hillsdale,31,0
2024,July '24,3035.0,5795.0,3628.0,2167.0,965493.0,318.0,167.0,1.91,Hillsdale,31,0
2024,August '24,3034.0,5791.0,3621.0,2170.0,969205.0,319.0,167.0,1.91,Hillsdale,31,0
2024,September '24,3055.0,5784.0,3634.0,2150.0,972641.0,318.0,168.0,1.89,Hillsdale,31,0
2024,October '23,3120.0,5926.0,3736.0,2190.0,986088.0,316.0,166.0,1.9,Hillsdale,31,1
2024,November '23,3144.0,5948.0,3749.0,2199.0,998366.0,318.0,168.0,1.89,Hillsdale,31,1
2024,December '23,3125.0,5923.0,3713.0,2210.0,994412.0,318.0,168.0,1.9,Hillsdale,31,1
2024,January '24,3132.0,5909.0,3720.0,2189.0,968444.0,309.0,164.0,1.89,Hillsdale,31,1
2024,February '24,3100.0,5835.0,3696.0,2139.0,947029.0,305.0,162.0,1.88,Hillsdale,31,1
2024,March '24,3094.0,5793.0,3689.0,2104.0,954141.0,308.0,165.0,1.87,Hillsdale,31,1
2024,April '24,3081.0,5841.0,3676.0,2165.0,949774.0,308.0,163.0,1.9,Hillsdale,31,1
2024,May '24,3059.0,5783.0,3658.0,2125.0,940430.0,307.0,163.0,1.89,Hillsdale,31,1
2024,June '24,3068.0,5834.0,3664.0,2170.0,953149.0,311.0,163.0,1.9,Hillsdale,31,1
2024,July '24,3035.0,5795.0,3628.0,2167.0,965493.0,318.0,167.0,1.91,Hillsdale,31,1
2024,August '24,3034.0,5791.0,3621.0,2170.0,969205.0,319.0,167.0,1.91,Hillsdale,31,1
2024,September '24,3055.0,5784.0,3634.0,2150.0,972641.0,318.0,168.0,1.89,Hillsdale,31,1
