year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2024,October '23,2436.0,4392.0,2918.0,1474.0,732612.0,301.0,167.0,1.8,Iosco,36,0
2024,November '23,2421.0,4365.0,2905.0,1460.0,731911.0,302.0,168.0,1.8,Iosco,36,0
2024,December '23,2437.0,4392.0,2927.0,1465.0,731647.0,300.0,167.0,1.8,Iosco,36,0
2024,January '24,2450.0,4410.0,2942.0,1468.0,714602.0,292.0,162.0,1.8,Iosco,36,0
2024,February '24,2468.0,4460.0,2975.0,1485.0,714096.0,289.0,160.0,1.81,Iosco,36,0
2024,March '24,2462.0,4449.0,2968.0,1481.0,710809.0,289.0,160.0,1.81,Iosco,36,0
2024,April '24,2431.0,4398.0,2920.0,1478.0,712310.0,293.0,162.0,1.81,Iosco,36,0
2024,May '24,2404.0,4338.0,2887.0,1451.0,694790.0,289.0,160.0,1.8,Iosco,36,0
2024,June '24,2382.0,4282.0,2852.0,1430.0,685148.0,288.0,160.0,1.8,Iosco,36,0
2024,July '24,2392.0,4276.0,2859.0,1417.0,698779.0,292.0,163.0,1.79,Iosco,36,0
2024,August '24,2377.0,4250.0,2837.0,1413.0,687460.0,289.0,162.0,1.79,Iosco,36,0
2024,September '24,2399.0,4280.0,2856.0,1424.0,695134.0,290.0,162.0,1.78,Iosco,36,0
2024,October '23,2436.0,4392.0,2918.0,1474.0,732612.0,301.0,167.0,1.8,Iosco,36,1
2024,November '23,2421.0,4365.0,2905.0,1460.0,731911.0,302.0,168.0,1.8,Iosco,36,1
2024,December '23,2437.0,4392.0,2927.0,1465.0,731647.0,300.0,167.0,1.8,Iosco,36,1
2024,January '24,2450.0,4410.0,2942.0,1468.0,714602.0,292.0,162.0,1.8,Iosco,36,1
2024,February '24,2468.0,4460.0,2975.0,1485.0,714096.0,289.0,160.0,1.81,Iosco,36,1
2024,March '24,2462.0,4449.0,2968.0,1481.0,710809.0,289.0,160.0,1.81,Iosco,36,1
2024,April '24,2431.0,4398.0,2920.0,1478.0,712310.0,293.0,162.0,1.81,Iosco,36,1
2024,May '24,2404.0,4338.0,2887.0,1451.0,694790.0,289.0,160.0,1.8,Iosco,36,1
2024,June '24,2382.0,4282.0,2852.0,1430.0,685148.0,288.0,160.0,1.8,Iosco,36,1
2024,July '24,2392.0,4276.0,2859.0,1417.0,698779.0,292.0,163.0,1.79,Iosco,36,1
2024,August '24,2377.0,4250.0,2837.0,1413.0,687460.0,289.0,162.0,1.79,Iosco,36,1
2024,September '24,2399.0,4280.0,2856.0,1424.0,695134.0,290.0,162.0,1.78,Iosco,36,1
