year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2024,October '23,18390.0,33365.0,19977.0,13388.0,6081747.0,331.0,182.0,1.81,Kalamazoo,40,0
2024,November '23,18275.0,33147.0,19846.0,13301.0,6049820.0,331.0,183.0,1.81,Kalamazoo,40,0
2024,December '23,18277.0,33180.0,19871.0,13309.0,6057478.0,331.0,183.0,1.82,Kalamazoo,40,0
2024,January '24,18333.0,33208.0,19940.0,13268.0,5943042.0,324.0,179.0,1.81,Kalamazoo,40,0
2024,February '24,18414.0,33346.0,20064.0,13282.0,6003793.0,326.0,180.0,1.81,Kalamazoo,40,0
2024,March '24,18325.0,33183.0,19969.0,13214.0,5984774.0,327.0,180.0,1.81,Kalamazoo,40,0
2024,April '24,18279.0,33133.0,19919.0,13214.0,5972669.0,327.0,180.0,1.81,Kalamazoo,40,0
2024,May '24,18233.0,33188.0,19876.0,13312.0,6101691.0,335.0,184.0,1.82,Kalamazoo,40,0
2024,June '24,18287.0,33512.0,19968.0,13544.0,6043854.0,331.0,180.0,1.83,Kalamazoo,40,0
2024,July '24,18282.0,33610.0,19994.0,13616.0,6095916.0,333.0,181.0,1.84,Kalamazoo,40,0
2024,August '24,18325.0,33604.0,19990.0,13614.0,6067710.0,331.0,181.0,1.83,Kalamazoo,40,0
2024,September '24,18525.0,33901.0,20217.0,13684.0,6162921.0,333.0,182.0,1.83,Kalamazoo,40,0
2024,October '23,18390.0,33365.0,19977.0,13388.0,6081747.0,331.0,182.0,1.81,Kalamazoo,40,1
2024,November '23,18275.0,33147.0,19846.0,13301.0,6049820.0,331.0,183.0,1.81,Kalamazoo,40,1
2024,December '23,18277.0,33180.0,19871.0,13309.0,6057478.0,331.0,183.0,1.82,Kalamazoo,40,1
2024,January '24,18333.0,33208.0,19940.0,13268.0,5943042.0,324.0,179.0,1.81,Kalamazoo,40,1
2024,February '24,18414.0,33346.0,20064.0,13282.0,6003793.0,326.0,180.0,1.81,Kalamazoo,40,1
2024,March '24,18325.0,33183.0,19969.0,13214.0,5984774.0,327.0,180.0,1.81,Kalamazoo,40,1
2024,April '24,18279.0,33133.0,19919.0,13214.0,5972669.0,327.0,180.0,1.81,Kalamazoo,40,1
2024,May '24,18233.0,33188.0,19876.0,13312.0,6101691.0,335.0,184.0,1.82,Kalamazoo,40,1
2024,June '24,18287.0,33512.0,19968.0,13544.0,6043854.0,331.0,180.0,1.83,Kalamazoo,40,1
2024,July '24,18282.0,33610.0,19994.0,13616.0,6095916.0,333.0,181.0,1.84,Kalamazoo,40,1
2024,August '24,18325.0,33604.0,19990.0,13614.0,6067710.0,331.0,181.0,1.83,Kalamazoo,40,1
2024,September '24,18525.0,33901.0,20217.0,13684.0,6162921.0,333.0,182.0,1.83,Kalamazoo,40,1
