year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2024,October '23,4233.0,8118.0,4962.0,3156.0,1366528.0,323.0,168.0,1.92,Lapeer,45,0
2024,November '23,4229.0,8149.0,4945.0,3204.0,1381875.0,327.0,170.0,1.93,Lapeer,45,0
2024,December '23,4270.0,8194.0,4990.0,3204.0,1398930.0,328.0,171.0,1.92,Lapeer,45,0
2024,January '24,4302.0,8289.0,5047.0,3242.0,1374003.0,319.0,166.0,1.93,Lapeer,45,0
2024,February '24,4348.0,8340.0,5098.0,3242.0,1374941.0,316.0,165.0,1.92,Lapeer,45,0
2024,March '24,4357.0,8386.0,5123.0,3263.0,1383179.0,317.0,165.0,1.92,Lapeer,45,0
2024,April '24,4360.0,8410.0,5130.0,3280.0,1388463.0,318.0,165.0,1.93,Lapeer,45,0
2024,May '24,4286.0,8244.0,5022.0,3222.0,1372048.0,320.0,166.0,1.92,Lapeer,45,0
2024,June '24,4252.0,8185.0,4984.0,3201.0,1370953.0,322.0,167.0,1.92,Lapeer,45,0
2024,July '24,4207.0,8060.0,4922.0,3138.0,1367230.0,325.0,170.0,1.92,Lapeer,45,0
2024,August '24,4190.0,8037.0,4905.0,3132.0,1346919.0,321.0,168.0,1.92,Lapeer,45,0
2024,September '24,4230.0,8124.0,4958.0,3166.0,1362394.0,322.0,168.0,1.92,Lapeer,45,0
2024,October '23,4233.0,8118.0,4962.0,3156.0,1366528.0,323.0,168.0,1.92,Lapeer,45,1
2024,November '23,4229.0,8149.0,4945.0,3204.0,1381875.0,327.0,170.0,1.93,Lapeer,45,1
2024,December '23,4270.0,8194.0,4990.0,3204.0,1398930.0,328.0,171.0,1.92,Lapeer,45,1
2024,January '24,4302.0,8289.0,5047.0,3242.0,1374003.0,319.0,166.0,1.93,Lapeer,45,1
2024,February '24,4348.0,8340.0,5098.0,3242.0,1374941.0,316.0,165.0,1.92,Lapeer,45,1
2024,March '24,4357.0,8386.0,5123.0,3263.0,1383179.0,317.0,165.0,1.92,Lapeer,45,1
2024,April '24,4360.0,8410.0,5130.0,3280.0,1388463.0,318.0,165.0,1.93,Lapeer,45,1
2024,May '24,4286.0,8244.0,5022.0,3222.0,1372048.0,320.0,166.0,1.92,Lapeer,45,1
2024,June '24,4252.0,8185.0,4984.0,3201.0,1370953.0,322.0,167.0,1.92,Lapeer,45,1
2024,July '24,4207.0,8060.0,4922.0,3138.0,1367230.0,325.0,170.0,1.92,Lapeer,45,1
2024,August '24,4190.0,8037.0,4905.0,3132.0,1346919.0,321.0,168.0,1.92,Lapeer,45,1
2024,September '24,4230.0,8124.0,4958.0,3166.0,1362394.0,322.0,168.0,1.92,Lapeer,45,1
