year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2024,October '23,4433.0,7882.0,4992.0,2890.0,1389356.0,313.0,176.0,1.78,Livingston,48,0
2024,November '23,4424.0,7867.0,4994.0,2873.0,1391609.0,315.0,177.0,1.78,Livingston,48,0
2024,December '23,4432.0,7836.0,5001.0,2835.0,1391488.0,314.0,178.0,1.77,Livingston,48,0
2024,January '24,4475.0,7938.0,5059.0,2879.0,1362911.0,305.0,172.0,1.77,Livingston,48,0
2024,February '24,4491.0,7961.0,5066.0,2895.0,1373700.0,306.0,173.0,1.77,Livingston,48,0
2024,March '24,4504.0,8027.0,5093.0,2934.0,1365479.0,303.0,170.0,1.78,Livingston,48,0
2024,April '24,4531.0,8059.0,5115.0,2944.0,1381166.0,305.0,171.0,1.78,Livingston,48,0
2024,May '24,4528.0,7992.0,5080.0,2912.0,1376313.0,304.0,172.0,1.77,Livingston,48,0
2024,June '24,4531.0,7997.0,5085.0,2912.0,1386898.0,306.0,173.0,1.76,Livingston,48,0
2024,July '24,4541.0,7997.0,5080.0,2917.0,1416620.0,312.0,177.0,1.76,Livingston,48,0
2024,August '24,4570.0,8007.0,5108.0,2899.0,1408272.0,308.0,176.0,1.75,Livingston,48,0
2024,September '24,4621.0,8176.0,5175.0,3001.0,1437192.0,311.0,176.0,1.77,Livingston,48,0
2024,October '23,4433.0,7882.0,4992.0,2890.0,1389356.0,313.0,176.0,1.78,Livingston,48,1
2024,November '23,4424.0,7867.0,4994.0,2873.0,1391609.0,315.0,177.0,1.78,Livingston,48,1
2024,December '23,4432.0,7836.0,5001.0,2835.0,1391488.0,314.0,178.0,1.77,Livingston,48,1
2024,January '24,4475.0,7938.0,5059.0,2879.0,1362911.0,305.0,172.0,1.77,Livingston,48,1
2024,February '24,4491.0,7961.0,5066.0,2895.0,1373700.0,306.0,173.0,1.77,Livingston,48,1
2024,March '24,4504.0,8027.0,5093.0,2934.0,1365479.0,303.0,170.0,1.78,Livingston,48,1
2024,April '24,4531.0,8059.0,5115.0,2944.0,1381166.0,305.0,171.0,1.78,Livingston,48,1
2024,May '24,4528.0,7992.0,5080.0,2912.0,1376313.0,304.0,172.0,1.77,Livingston,48,1
2024,June '24,4531.0,7997.0,5085.0,2912.0,1386898.0,306.0,173.0,1.76,Livingston,48,1
2024,July '24,4541.0,7997.0,5080.0,2917.0,1416620.0,312.0,177.0,1.76,Livingston,48,1
2024,August '24,4570.0,8007.0,5108.0,2899.0,1408272.0,308.0,176.0,1.75,Livingston,48,1
2024,September '24,4621.0,8176.0,5175.0,3001.0,1437192.0,311.0,176.0,1.77,Livingston,48,1
