year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2024,October '23,569.0,958.0,675.0,283.0,156738.0,275.0,164.0,1.68,Mackinac,50,0
2024,November '23,574.0,946.0,673.0,273.0,157121.0,274.0,166.0,1.65,Mackinac,50,0
2024,December '23,594.0,978.0,695.0,283.0,162897.0,274.0,167.0,1.65,Mackinac,50,0
2024,January '24,614.0,992.0,714.0,278.0,161648.0,263.0,163.0,1.62,Mackinac,50,0
2024,February '24,604.0,988.0,710.0,278.0,160214.0,265.0,162.0,1.64,Mackinac,50,0
2024,March '24,600.0,999.0,707.0,292.0,153115.0,255.0,153.0,1.67,Mackinac,50,0
2024,April '24,607.0,1001.0,713.0,288.0,154517.0,255.0,154.0,1.65,Mackinac,50,0
2024,May '24,604.0,995.0,711.0,284.0,155310.0,257.0,156.0,1.65,Mackinac,50,0
2024,June '24,603.0,999.0,716.0,283.0,158393.0,263.0,159.0,1.66,Mackinac,50,0
2024,July '24,586.0,950.0,688.0,262.0,157298.0,268.0,166.0,1.62,Mackinac,50,0
2024,August '24,572.0,924.0,664.0,260.0,149778.0,262.0,162.0,1.62,Mackinac,50,0
2024,September '24,568.0,915.0,658.0,257.0,146600.0,258.0,160.0,1.61,Mackinac,50,0
2024,October '23,569.0,958.0,675.0,283.0,156738.0,275.0,164.0,1.68,Mackinac,50,1
2024,November '23,574.0,946.0,673.0,273.0,157121.0,274.0,166.0,1.65,Mackinac,50,1
2024,December '23,594.0,978.0,695.0,283.0,162897.0,274.0,167.0,1.65,Mackinac,50,1
2024,January '24,614.0,992.0,714.0,278.0,161648.0,263.0,163.0,1.62,Mackinac,50,1
2024,February '24,604.0,988.0,710.0,278.0,160214.0,265.0,162.0,1.64,Mackinac,50,1
2024,March '24,600.0,999.0,707.0,292.0,153115.0,255.0,153.0,1.67,Mackinac,50,1
2024,April '24,607.0,1001.0,713.0,288.0,154517.0,255.0,154.0,1.65,Mackinac,50,1
2024,May '24,604.0,995.0,711.0,284.0,155310.0,257.0,156.0,1.65,Mackinac,50,1
2024,June '24,603.0,999.0,716.0,283.0,158393.0,263.0,159.0,1.66,Mackinac,50,1
2024,July '24,586.0,950.0,688.0,262.0,157298.0,268.0,166.0,1.62,Mackinac,50,1
2024,August '24,572.0,924.0,664.0,260.0,149778.0,262.0,162.0,1.62,Mackinac,50,1
2024,September '24,568.0,915.0,658.0,257.0,146600.0,258.0,160.0,1.61,Mackinac,50,1
