year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2024,October '23,59860.0,114543.0,70587.0,43956.0,20650498.0,345.0,180.0,1.91,Macomb,51,0
2024,November '23,59599.0,113865.0,70217.0,43648.0,20655826.0,347.0,181.0,1.91,Macomb,51,0
2024,December '23,59738.0,113922.0,70344.0,43578.0,20762011.0,348.0,182.0,1.91,Macomb,51,0
2024,January '24,59621.0,113691.0,70260.0,43431.0,20388924.0,342.0,179.0,1.91,Macomb,51,0
2024,February '24,59939.0,114347.0,70724.0,43623.0,20406311.0,340.0,178.0,1.91,Macomb,51,0
2024,March '24,59952.0,114341.0,70798.0,43543.0,20368363.0,340.0,178.0,1.91,Macomb,51,0
2024,April '24,59839.0,113984.0,70656.0,43328.0,20392766.0,341.0,179.0,1.9,Macomb,51,0
2024,May '24,59730.0,113832.0,70533.0,43299.0,20408457.0,342.0,179.0,1.91,Macomb,51,0
2024,June '24,60069.0,114409.0,70912.0,43497.0,20546742.0,342.0,180.0,1.9,Macomb,51,0
2024,July '24,60363.0,115020.0,71265.0,43755.0,20785784.0,344.0,181.0,1.91,Macomb,51,0
2024,August '24,60621.0,115344.0,71467.0,43877.0,20640044.0,340.0,179.0,1.9,Macomb,51,0
2024,September '24,61141.0,116413.0,72110.0,44303.0,21112678.0,345.0,181.0,1.9,Macomb,51,0
2024,October '23,59860.0,114543.0,70587.0,43956.0,20650498.0,345.0,180.0,1.91,Macomb,51,1
2024,November '23,59599.0,113865.0,70217.0,43648.0,20655826.0,347.0,181.0,1.91,Macomb,51,1
2024,December '23,59738.0,113922.0,70344.0,43578.0,20762011.0,348.0,182.0,1.91,Macomb,51,1
2024,January '24,59621.0,113691.0,70260.0,43431.0,20388924.0,342.0,179.0,1.91,Macomb,51,1
2024,February '24,59939.0,114347.0,70724.0,43623.0,20406311.0,340.0,178.0,1.91,Macomb,51,1
2024,March '24,59952.0,114341.0,70798.0,43543.0,20368363.0,340.0,178.0,1.91,Macomb,51,1
2024,April '24,59839.0,113984.0,70656.0,43328.0,20392766.0,341.0,179.0,1.9,Macomb,51,1
2024,May '24,59730.0,113832.0,70533.0,43299.0,20408457.0,342.0,179.0,1.91,Macomb,51,1
2024,June '24,60069.0,114409.0,70912.0,43497.0,20546742.0,342.0,180.0,1.9,Macomb,51,1
2024,July '24,60363.0,115020.0,71265.0,43755.0,20785784.0,344.0,181.0,1.91,Macomb,51,1
2024,August '24,60621.0,115344.0,71467.0,43877.0,20640044.0,340.0,179.0,1.9,Macomb,51,1
2024,September '24,61141.0,116413.0,72110.0,44303.0,21112678.0,345.0,181.0,1.9,Macomb,51,1
