year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2024,October '23,1774.0,3128.0,2095.0,1033.0,508189.0,286.0,162.0,1.76,Manistee,52,0
2024,November '23,1770.0,3106.0,2080.0,1026.0,505974.0,286.0,163.0,1.75,Manistee,52,0
2024,December '23,1767.0,3145.0,2095.0,1050.0,512299.0,290.0,163.0,1.78,Manistee,52,0
2024,January '24,1778.0,3137.0,2106.0,1031.0,499732.0,281.0,159.0,1.76,Manistee,52,0
2024,February '24,1811.0,3186.0,2149.0,1037.0,507819.0,280.0,159.0,1.76,Manistee,52,0
2024,March '24,1825.0,3215.0,2166.0,1049.0,508619.0,279.0,158.0,1.76,Manistee,52,0
2024,April '24,1798.0,3171.0,2136.0,1035.0,498752.0,277.0,157.0,1.76,Manistee,52,0
2024,May '24,1784.0,3132.0,2119.0,1013.0,495387.0,278.0,158.0,1.76,Manistee,52,0
2024,June '24,1794.0,3169.0,2133.0,1036.0,510554.0,285.0,161.0,1.77,Manistee,52,0
2024,July '24,1766.0,3115.0,2082.0,1033.0,515847.0,292.0,166.0,1.76,Manistee,52,0
2024,August '24,1758.0,3092.0,2070.0,1022.0,500583.0,285.0,162.0,1.76,Manistee,52,0
2024,September '24,1740.0,3066.0,2050.0,1016.0,505037.0,290.0,165.0,1.76,Manistee,52,0
2024,October '23,1774.0,3128.0,2095.0,1033.0,508189.0,286.0,162.0,1.76,Manistee,52,1
2024,November '23,1770.0,3106.0,2080.0,1026.0,505974.0,286.0,163.0,1.75,Manistee,52,1
2024,December '23,1767.0,3145.0,2095.0,1050.0,512299.0,290.0,163.0,1.78,Manistee,52,1
2024,January '24,1778.0,3137.0,2106.0,1031.0,499732.0,281.0,159.0,1.76,Manistee,52,1
2024,February '24,1811.0,3186.0,2149.0,1037.0,507819.0,280.0,159.0,1.76,Manistee,52,1
2024,March '24,1825.0,3215.0,2166.0,1049.0,508619.0,279.0,158.0,1.76,Manistee,52,1
2024,April '24,1798.0,3171.0,2136.0,1035.0,498752.0,277.0,157.0,1.76,Manistee,52,1
2024,May '24,1784.0,3132.0,2119.0,1013.0,495387.0,278.0,158.0,1.76,Manistee,52,1
2024,June '24,1794.0,3169.0,2133.0,1036.0,510554.0,285.0,161.0,1.77,Manistee,52,1
2024,July '24,1766.0,3115.0,2082.0,1033.0,515847.0,292.0,166.0,1.76,Manistee,52,1
2024,August '24,1758.0,3092.0,2070.0,1022.0,500583.0,285.0,162.0,1.76,Manistee,52,1
2024,September '24,1740.0,3066.0,2050.0,1016.0,505037.0,290.0,165.0,1.76,Manistee,52,1
