year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2024,October '23,801.0,1352.0,958.0,394.0,212768.0,266.0,157.0,1.69,Montmorency,61,0
2024,November '23,798.0,1360.0,959.0,401.0,214775.0,269.0,158.0,1.7,Montmorency,61,0
2024,December '23,813.0,1379.0,975.0,404.0,220031.0,271.0,160.0,1.7,Montmorency,61,0
2024,January '24,828.0,1398.0,992.0,406.0,212939.0,257.0,152.0,1.69,Montmorency,61,0
2024,February '24,832.0,1404.0,999.0,405.0,216859.0,261.0,154.0,1.69,Montmorency,61,0
2024,March '24,841.0,1418.0,1010.0,408.0,214309.0,255.0,151.0,1.69,Montmorency,61,0
2024,April '24,840.0,1427.0,1010.0,417.0,219158.0,261.0,154.0,1.7,Montmorency,61,0
2024,May '24,831.0,1398.0,996.0,402.0,217166.0,261.0,155.0,1.68,Montmorency,61,0
2024,June '24,832.0,1392.0,996.0,396.0,218556.0,263.0,157.0,1.67,Montmorency,61,0
2024,July '24,817.0,1318.0,965.0,353.0,208941.0,256.0,159.0,1.61,Montmorency,61,0
2024,August '24,820.0,1336.0,967.0,369.0,205364.0,250.0,154.0,1.63,Montmorency,61,0
2024,September '24,829.0,1348.0,974.0,374.0,207771.0,251.0,154.0,1.63,Montmorency,61,0
2024,October '23,801.0,1352.0,958.0,394.0,212768.0,266.0,157.0,1.69,Montmorency,61,1
2024,November '23,798.0,1360.0,959.0,401.0,214775.0,269.0,158.0,1.7,Montmorency,61,1
2024,December '23,813.0,1379.0,975.0,404.0,220031.0,271.0,160.0,1.7,Montmorency,61,1
2024,January '24,828.0,1398.0,992.0,406.0,212939.0,257.0,152.0,1.69,Montmorency,61,1
2024,February '24,832.0,1404.0,999.0,405.0,216859.0,261.0,154.0,1.69,Montmorency,61,1
2024,March '24,841.0,1418.0,1010.0,408.0,214309.0,255.0,151.0,1.69,Montmorency,61,1
2024,April '24,840.0,1427.0,1010.0,417.0,219158.0,261.0,154.0,1.7,Montmorency,61,1
2024,May '24,831.0,1398.0,996.0,402.0,217166.0,261.0,155.0,1.68,Montmorency,61,1
2024,June '24,832.0,1392.0,996.0,396.0,218556.0,263.0,157.0,1.67,Montmorency,61,1
2024,July '24,817.0,1318.0,965.0,353.0,208941.0,256.0,159.0,1.61,Montmorency,61,1
2024,August '24,820.0,1336.0,967.0,369.0,205364.0,250.0,154.0,1.63,Montmorency,61,1
2024,September '24,829.0,1348.0,974.0,374.0,207771.0,251.0,154.0,1.63,Montmorency,61,1
