year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2024,October '23,4004.0,7796.0,4864.0,2932.0,1264012.0,316.0,162.0,1.95,Newaygo,63,0
2024,November '23,4013.0,7823.0,4882.0,2941.0,1269202.0,316.0,162.0,1.95,Newaygo,63,0
2024,December '23,4016.0,7853.0,4903.0,2950.0,1272953.0,317.0,162.0,1.96,Newaygo,63,0
2024,January '24,4040.0,7891.0,4919.0,2972.0,1256823.0,311.0,159.0,1.95,Newaygo,63,0
2024,February '24,4067.0,7935.0,4974.0,2961.0,1263960.0,311.0,159.0,1.95,Newaygo,63,0
2024,March '24,4057.0,7843.0,4939.0,2904.0,1255151.0,309.0,160.0,1.93,Newaygo,63,0
2024,April '24,4039.0,7820.0,4905.0,2915.0,1250525.0,310.0,160.0,1.94,Newaygo,63,0
2024,May '24,4019.0,7806.0,4876.0,2930.0,1253665.0,312.0,161.0,1.94,Newaygo,63,0
2024,June '24,4006.0,7817.0,4856.0,2961.0,1242225.0,310.0,159.0,1.95,Newaygo,63,0
2024,July '24,3991.0,7755.0,4818.0,2937.0,1254037.0,314.0,162.0,1.94,Newaygo,63,0
2024,August '24,4025.0,7800.0,4855.0,2945.0,1274197.0,317.0,163.0,1.94,Newaygo,63,0
2024,September '24,4026.0,7755.0,4852.0,2903.0,1279871.0,318.0,165.0,1.93,Newaygo,63,0
2024,October '23,4004.0,7796.0,4864.0,2932.0,1264012.0,316.0,162.0,1.95,Newaygo,63,1
2024,November '23,4013.0,7823.0,4882.0,2941.0,1269202.0,316.0,162.0,1.95,Newaygo,63,1
2024,December '23,4016.0,7853.0,4903.0,2950.0,1272953.0,317.0,162.0,1.96,Newaygo,63,1
2024,January '24,4040.0,7891.0,4919.0,2972.0,1256823.0,311.0,159.0,1.95,Newaygo,63,1
2024,February '24,4067.0,7935.0,4974.0,2961.0,1263960.0,311.0,159.0,1.95,Newaygo,63,1
2024,March '24,4057.0,7843.0,4939.0,2904.0,1255151.0,309.0,160.0,1.93,Newaygo,63,1
2024,April '24,4039.0,7820.0,4905.0,2915.0,1250525.0,310.0,160.0,1.94,Newaygo,63,1
2024,May '24,4019.0,7806.0,4876.0,2930.0,1253665.0,312.0,161.0,1.94,Newaygo,63,1
2024,June '24,4006.0,7817.0,4856.0,2961.0,1242225.0,310.0,159.0,1.95,Newaygo,63,1
2024,July '24,3991.0,7755.0,4818.0,2937.0,1254037.0,314.0,162.0,1.94,Newaygo,63,1
2024,August '24,4025.0,7800.0,4855.0,2945.0,1274197.0,317.0,163.0,1.94,Newaygo,63,1
2024,September '24,4026.0,7755.0,4852.0,2903.0,1279871.0,318.0,165.0,1.93,Newaygo,63,1
