year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2024,October '23,1849.0,3739.0,2239.0,1500.0,621368.0,336.0,166.0,2.02,Osceola,68,0
2024,November '23,1850.0,3735.0,2252.0,1483.0,625367.0,338.0,167.0,2.02,Osceola,68,0
2024,December '23,1854.0,3748.0,2253.0,1495.0,628048.0,339.0,168.0,2.02,Osceola,68,0
2024,January '24,1860.0,3735.0,2252.0,1483.0,617123.0,332.0,165.0,2.01,Osceola,68,0
2024,February '24,1863.0,3800.0,2279.0,1521.0,626588.0,336.0,165.0,2.04,Osceola,68,0
2024,March '24,1854.0,3768.0,2271.0,1497.0,622449.0,336.0,165.0,2.03,Osceola,68,0
2024,April '24,1839.0,3757.0,2262.0,1495.0,614233.0,334.0,163.0,2.04,Osceola,68,0
2024,May '24,1841.0,3719.0,2260.0,1459.0,617840.0,336.0,166.0,2.02,Osceola,68,0
2024,June '24,1830.0,3705.0,2246.0,1459.0,615104.0,336.0,166.0,2.02,Osceola,68,0
2024,July '24,1815.0,3655.0,2216.0,1439.0,620515.0,342.0,170.0,2.01,Osceola,68,0
2024,August '24,1804.0,3583.0,2193.0,1390.0,600277.0,333.0,168.0,1.99,Osceola,68,0
2024,September '24,1806.0,3586.0,2195.0,1391.0,609096.0,337.0,170.0,1.99,Osceola,68,0
2024,October '23,1849.0,3739.0,2239.0,1500.0,621368.0,336.0,166.0,2.02,Osceola,68,1
2024,November '23,1850.0,3735.0,2252.0,1483.0,625367.0,338.0,167.0,2.02,Osceola,68,1
2024,December '23,1854.0,3748.0,2253.0,1495.0,628048.0,339.0,168.0,2.02,Osceola,68,1
2024,January '24,1860.0,3735.0,2252.0,1483.0,617123.0,332.0,165.0,2.01,Osceola,68,1
2024,February '24,1863.0,3800.0,2279.0,1521.0,626588.0,336.0,165.0,2.04,Osceola,68,1
2024,March '24,1854.0,3768.0,2271.0,1497.0,622449.0,336.0,165.0,2.03,Osceola,68,1
2024,April '24,1839.0,3757.0,2262.0,1495.0,614233.0,334.0,163.0,2.04,Osceola,68,1
2024,May '24,1841.0,3719.0,2260.0,1459.0,617840.0,336.0,166.0,2.02,Osceola,68,1
2024,June '24,1830.0,3705.0,2246.0,1459.0,615104.0,336.0,166.0,2.02,Osceola,68,1
2024,July '24,1815.0,3655.0,2216.0,1439.0,620515.0,342.0,170.0,2.01,Osceola,68,1
2024,August '24,1804.0,3583.0,2193.0,1390.0,600277.0,333.0,168.0,1.99,Osceola,68,1
2024,September '24,1806.0,3586.0,2195.0,1391.0,609096.0,337.0,170.0,1.99,Osceola,68,1
