year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2024,October '23,858.0,1520.0,1064.0,456.0,243657.0,284.0,160.0,1.77,Oscoda,69,0
2024,November '23,855.0,1515.0,1057.0,458.0,245112.0,287.0,162.0,1.77,Oscoda,69,0
2024,December '23,853.0,1510.0,1053.0,457.0,245783.0,288.0,163.0,1.77,Oscoda,69,0
2024,January '24,868.0,1525.0,1067.0,458.0,240769.0,277.0,158.0,1.76,Oscoda,69,0
2024,February '24,872.0,1551.0,1080.0,471.0,242966.0,279.0,157.0,1.78,Oscoda,69,0
2024,March '24,880.0,1560.0,1088.0,472.0,246547.0,280.0,158.0,1.77,Oscoda,69,0
2024,April '24,873.0,1502.0,1062.0,440.0,240617.0,276.0,160.0,1.72,Oscoda,69,0
2024,May '24,869.0,1477.0,1053.0,424.0,236103.0,272.0,160.0,1.7,Oscoda,69,0
2024,June '24,872.0,1484.0,1066.0,418.0,233961.0,268.0,158.0,1.7,Oscoda,69,0
2024,July '24,863.0,1469.0,1055.0,414.0,235416.0,273.0,160.0,1.7,Oscoda,69,0
2024,August '24,851.0,1442.0,1041.0,401.0,229229.0,269.0,159.0,1.69,Oscoda,69,0
2024,September '24,861.0,1475.0,1054.0,421.0,230539.0,268.0,156.0,1.71,Oscoda,69,0
2024,October '23,858.0,1520.0,1064.0,456.0,243657.0,284.0,160.0,1.77,Oscoda,69,1
2024,November '23,855.0,1515.0,1057.0,458.0,245112.0,287.0,162.0,1.77,Oscoda,69,1
2024,December '23,853.0,1510.0,1053.0,457.0,245783.0,288.0,163.0,1.77,Oscoda,69,1
2024,January '24,868.0,1525.0,1067.0,458.0,240769.0,277.0,158.0,1.76,Oscoda,69,1
2024,February '24,872.0,1551.0,1080.0,471.0,242966.0,279.0,157.0,1.78,Oscoda,69,1
2024,March '24,880.0,1560.0,1088.0,472.0,246547.0,280.0,158.0,1.77,Oscoda,69,1
2024,April '24,873.0,1502.0,1062.0,440.0,240617.0,276.0,160.0,1.72,Oscoda,69,1
2024,May '24,869.0,1477.0,1053.0,424.0,236103.0,272.0,160.0,1.7,Oscoda,69,1
2024,June '24,872.0,1484.0,1066.0,418.0,233961.0,268.0,158.0,1.7,Oscoda,69,1
2024,July '24,863.0,1469.0,1055.0,414.0,235416.0,273.0,160.0,1.7,Oscoda,69,1
2024,August '24,851.0,1442.0,1041.0,401.0,229229.0,269.0,159.0,1.69,Oscoda,69,1
2024,September '24,861.0,1475.0,1054.0,421.0,230539.0,268.0,156.0,1.71,Oscoda,69,1
