year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2024,October '23,9211.0,17653.0,10378.0,7275.0,2903173.0,315.0,164.0,1.92,Ottawa,71,0
2024,November '23,9205.0,17681.0,10386.0,7295.0,2948724.0,320.0,167.0,1.92,Ottawa,71,0
2024,December '23,9187.0,17633.0,10383.0,7250.0,2945267.0,321.0,167.0,1.92,Ottawa,71,0
2024,January '24,9306.0,17846.0,10532.0,7314.0,2942699.0,316.0,165.0,1.92,Ottawa,71,0
2024,February '24,9390.0,17936.0,10620.0,7316.0,2966077.0,316.0,165.0,1.91,Ottawa,71,0
2024,March '24,9343.0,17838.0,10595.0,7243.0,2954726.0,316.0,166.0,1.91,Ottawa,71,0
2024,April '24,9258.0,17709.0,10505.0,7204.0,2927742.0,316.0,165.0,1.91,Ottawa,71,0
2024,May '24,9199.0,17600.0,10408.0,7192.0,2915153.0,317.0,166.0,1.91,Ottawa,71,0
2024,June '24,9288.0,17860.0,10525.0,7335.0,2936901.0,316.0,164.0,1.92,Ottawa,71,0
2024,July '24,9301.0,17798.0,10509.0,7289.0,2967788.0,319.0,167.0,1.91,Ottawa,71,0
2024,August '24,9289.0,17708.0,10455.0,7253.0,2922734.0,315.0,165.0,1.91,Ottawa,71,0
2024,September '24,9360.0,17880.0,10530.0,7350.0,2970667.0,317.0,166.0,1.91,Ottawa,71,0
2024,October '23,9211.0,17653.0,10378.0,7275.0,2903173.0,315.0,164.0,1.92,Ottawa,71,1
2024,November '23,9205.0,17681.0,10386.0,7295.0,2948724.0,320.0,167.0,1.92,Ottawa,71,1
2024,December '23,9187.0,17633.0,10383.0,7250.0,2945267.0,321.0,167.0,1.92,Ottawa,71,1
2024,January '24,9306.0,17846.0,10532.0,7314.0,2942699.0,316.0,165.0,1.92,Ottawa,71,1
2024,February '24,9390.0,17936.0,10620.0,7316.0,2966077.0,316.0,165.0,1.91,Ottawa,71,1
2024,March '24,9343.0,17838.0,10595.0,7243.0,2954726.0,316.0,166.0,1.91,Ottawa,71,1
2024,April '24,9258.0,17709.0,10505.0,7204.0,2927742.0,316.0,165.0,1.91,Ottawa,71,1
2024,May '24,9199.0,17600.0,10408.0,7192.0,2915153.0,317.0,166.0,1.91,Ottawa,71,1
2024,June '24,9288.0,17860.0,10525.0,7335.0,2936901.0,316.0,164.0,1.92,Ottawa,71,1
2024,July '24,9301.0,17798.0,10509.0,7289.0,2967788.0,319.0,167.0,1.91,Ottawa,71,1
2024,August '24,9289.0,17708.0,10455.0,7253.0,2922734.0,315.0,165.0,1.91,Ottawa,71,1
2024,September '24,9360.0,17880.0,10530.0,7350.0,2970667.0,317.0,166.0,1.91,Ottawa,71,1
