year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2024,October '23,2491.0,4216.0,2970.0,1246.0,699136.0,281.0,166.0,1.69,Roscommon,73,0
2024,November '23,2477.0,4158.0,2937.0,1221.0,703205.0,284.0,169.0,1.68,Roscommon,73,0
2024,December '23,2510.0,4230.0,3000.0,1230.0,708730.0,282.0,168.0,1.69,Roscommon,73,0
2024,January '24,2503.0,4229.0,3004.0,1225.0,697275.0,279.0,165.0,1.69,Roscommon,73,0
2024,February '24,2526.0,4273.0,3032.0,1241.0,697678.0,276.0,163.0,1.69,Roscommon,73,0
2024,March '24,2523.0,4273.0,3026.0,1247.0,698933.0,277.0,164.0,1.69,Roscommon,73,0
2024,April '24,2509.0,4207.0,3004.0,1203.0,702298.0,280.0,167.0,1.68,Roscommon,73,0
2024,May '24,2499.0,4158.0,2978.0,1180.0,697899.0,279.0,168.0,1.66,Roscommon,73,0
2024,June '24,2485.0,4152.0,2964.0,1188.0,701729.0,282.0,169.0,1.67,Roscommon,73,0
2024,July '24,2486.0,4148.0,2958.0,1190.0,706129.0,284.0,170.0,1.67,Roscommon,73,0
2024,August '24,2516.0,4140.0,2971.0,1169.0,702923.0,279.0,170.0,1.65,Roscommon,73,0
2024,September '24,2504.0,4178.0,2971.0,1207.0,708409.0,283.0,170.0,1.67,Roscommon,73,0
2024,October '23,2491.0,4216.0,2970.0,1246.0,699136.0,281.0,166.0,1.69,Roscommon,73,1
2024,November '23,2477.0,4158.0,2937.0,1221.0,703205.0,284.0,169.0,1.68,Roscommon,73,1
2024,December '23,2510.0,4230.0,3000.0,1230.0,708730.0,282.0,168.0,1.69,Roscommon,73,1
2024,January '24,2503.0,4229.0,3004.0,1225.0,697275.0,279.0,165.0,1.69,Roscommon,73,1
2024,February '24,2526.0,4273.0,3032.0,1241.0,697678.0,276.0,163.0,1.69,Roscommon,73,1
2024,March '24,2523.0,4273.0,3026.0,1247.0,698933.0,277.0,164.0,1.69,Roscommon,73,1
2024,April '24,2509.0,4207.0,3004.0,1203.0,702298.0,280.0,167.0,1.68,Roscommon,73,1
2024,May '24,2499.0,4158.0,2978.0,1180.0,697899.0,279.0,168.0,1.66,Roscommon,73,1
2024,June '24,2485.0,4152.0,2964.0,1188.0,701729.0,282.0,169.0,1.67,Roscommon,73,1
2024,July '24,2486.0,4148.0,2958.0,1190.0,706129.0,284.0,170.0,1.67,Roscommon,73,1
2024,August '24,2516.0,4140.0,2971.0,1169.0,702923.0,279.0,170.0,1.65,Roscommon,73,1
2024,September '24,2504.0,4178.0,2971.0,1207.0,708409.0,283.0,170.0,1.67,Roscommon,73,1
