year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2024,October '23,20444.0,38188.0,22562.0,15626.0,6772309.0,331.0,177.0,1.87,Saginaw,74,0
2024,November '23,20193.0,37644.0,22256.0,15388.0,6776644.0,336.0,180.0,1.86,Saginaw,74,0
2024,December '23,20187.0,37534.0,22221.0,15313.0,6794285.0,337.0,181.0,1.86,Saginaw,74,0
2024,January '24,20120.0,37410.0,22141.0,15269.0,6662684.0,331.0,178.0,1.86,Saginaw,74,0
2024,February '24,20212.0,37562.0,22255.0,15307.0,6657297.0,329.0,177.0,1.86,Saginaw,74,0
2024,March '24,20124.0,37243.0,22156.0,15087.0,6643767.0,330.0,178.0,1.85,Saginaw,74,0
2024,April '24,20031.0,37029.0,22047.0,14982.0,6605682.0,330.0,178.0,1.85,Saginaw,74,0
2024,May '24,19958.0,36934.0,21967.0,14967.0,6609760.0,331.0,179.0,1.85,Saginaw,74,0
2024,June '24,20054.0,37196.0,22063.0,15133.0,6626660.0,330.0,178.0,1.85,Saginaw,74,0
2024,July '24,20028.0,37125.0,22015.0,15110.0,6677480.0,333.0,180.0,1.85,Saginaw,74,0
2024,August '24,20097.0,37219.0,22074.0,15145.0,6639063.0,330.0,178.0,1.85,Saginaw,74,0
2024,September '24,20230.0,37467.0,22250.0,15217.0,6720275.0,332.0,179.0,1.85,Saginaw,74,0
2024,October '23,20444.0,38188.0,22562.0,15626.0,6772309.0,331.0,177.0,1.87,Saginaw,74,1
2024,November '23,20193.0,37644.0,22256.0,15388.0,6776644.0,336.0,180.0,1.86,Saginaw,74,1
2024,December '23,20187.0,37534.0,22221.0,15313.0,6794285.0,337.0,181.0,1.86,Saginaw,74,1
2024,January '24,20120.0,37410.0,22141.0,15269.0,6662684.0,331.0,178.0,1.86,Saginaw,74,1
2024,February '24,20212.0,37562.0,22255.0,15307.0,6657297.0,329.0,177.0,1.86,Saginaw,74,1
2024,March '24,20124.0,37243.0,22156.0,15087.0,6643767.0,330.0,178.0,1.85,Saginaw,74,1
2024,April '24,20031.0,37029.0,22047.0,14982.0,6605682.0,330.0,178.0,1.85,Saginaw,74,1
2024,May '24,19958.0,36934.0,21967.0,14967.0,6609760.0,331.0,179.0,1.85,Saginaw,74,1
2024,June '24,20054.0,37196.0,22063.0,15133.0,6626660.0,330.0,178.0,1.85,Saginaw,74,1
2024,July '24,20028.0,37125.0,22015.0,15110.0,6677480.0,333.0,180.0,1.85,Saginaw,74,1
2024,August '24,20097.0,37219.0,22074.0,15145.0,6639063.0,330.0,178.0,1.85,Saginaw,74,1
2024,September '24,20230.0,37467.0,22250.0,15217.0,6720275.0,332.0,179.0,1.85,Saginaw,74,1
