year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2024,October '23,4603.0,8696.0,5399.0,3297.0,1465092.0,318.0,168.0,1.89,Shiawassee,77,0
2024,November '23,4559.0,8615.0,5377.0,3238.0,1456574.0,319.0,169.0,1.89,Shiawassee,77,0
2024,December '23,4580.0,8619.0,5401.0,3218.0,1465836.0,320.0,170.0,1.88,Shiawassee,77,0
2024,January '24,4625.0,8767.0,5487.0,3280.0,1450147.0,314.0,165.0,1.9,Shiawassee,77,0
2024,February '24,4647.0,8823.0,5522.0,3301.0,1453903.0,313.0,165.0,1.9,Shiawassee,77,0
2024,March '24,4614.0,8773.0,5495.0,3278.0,1462652.0,317.0,167.0,1.9,Shiawassee,77,0
2024,April '24,4556.0,8666.0,5417.0,3249.0,1440603.0,316.0,166.0,1.9,Shiawassee,77,0
2024,May '24,4523.0,8580.0,5380.0,3200.0,1423540.0,315.0,166.0,1.9,Shiawassee,77,0
2024,June '24,4526.0,8660.0,5398.0,3262.0,1425936.0,315.0,165.0,1.91,Shiawassee,77,0
2024,July '24,4530.0,8564.0,5374.0,3190.0,1454397.0,321.0,170.0,1.89,Shiawassee,77,0
2024,August '24,4539.0,8645.0,5400.0,3245.0,1449327.0,319.0,168.0,1.9,Shiawassee,77,0
2024,September '24,4572.0,8714.0,5427.0,3287.0,1468150.0,321.0,168.0,1.91,Shiawassee,77,0
2024,October '23,4603.0,8696.0,5399.0,3297.0,1465092.0,318.0,168.0,1.89,Shiawassee,77,1
2024,November '23,4559.0,8615.0,5377.0,3238.0,1456574.0,319.0,169.0,1.89,Shiawassee,77,1
2024,December '23,4580.0,8619.0,5401.0,3218.0,1465836.0,320.0,170.0,1.88,Shiawassee,77,1
2024,January '24,4625.0,8767.0,5487.0,3280.0,1450147.0,314.0,165.0,1.9,Shiawassee,77,1
2024,February '24,4647.0,8823.0,5522.0,3301.0,1453903.0,313.0,165.0,1.9,Shiawassee,77,1
2024,March '24,4614.0,8773.0,5495.0,3278.0,1462652.0,317.0,167.0,1.9,Shiawassee,77,1
2024,April '24,4556.0,8666.0,5417.0,3249.0,1440603.0,316.0,166.0,1.9,Shiawassee,77,1
2024,May '24,4523.0,8580.0,5380.0,3200.0,1423540.0,315.0,166.0,1.9,Shiawassee,77,1
2024,June '24,4526.0,8660.0,5398.0,3262.0,1425936.0,315.0,165.0,1.91,Shiawassee,77,1
2024,July '24,4530.0,8564.0,5374.0,3190.0,1454397.0,321.0,170.0,1.89,Shiawassee,77,1
2024,August '24,4539.0,8645.0,5400.0,3245.0,1449327.0,319.0,168.0,1.9,Shiawassee,77,1
2024,September '24,4572.0,8714.0,5427.0,3287.0,1468150.0,321.0,168.0,1.91,Shiawassee,77,1
