year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2024,October '23,11834.0,21757.0,13609.0,8148.0,3853748.0,326.0,177.0,1.84,St. Clair,78,0
2024,November '23,11812.0,21686.0,13560.0,8126.0,3866035.0,327.0,178.0,1.84,St. Clair,78,0
2024,December '23,11869.0,21714.0,13626.0,8088.0,3884696.0,327.0,179.0,1.83,St. Clair,78,0
2024,January '24,11946.0,21846.0,13706.0,8140.0,3842755.0,322.0,176.0,1.83,St. Clair,78,0
2024,February '24,11973.0,21903.0,13766.0,8137.0,3831285.0,320.0,175.0,1.83,St. Clair,78,0
2024,March '24,11931.0,21850.0,13730.0,8120.0,3820505.0,320.0,175.0,1.83,St. Clair,78,0
2024,April '24,11915.0,21804.0,13700.0,8104.0,3810360.0,320.0,175.0,1.83,St. Clair,78,0
2024,May '24,11790.0,21559.0,13558.0,8001.0,3794859.0,322.0,176.0,1.83,St. Clair,78,0
2024,June '24,11797.0,21580.0,13523.0,8057.0,3805568.0,323.0,176.0,1.83,St. Clair,78,0
2024,July '24,11773.0,21483.0,13470.0,8013.0,3817224.0,324.0,178.0,1.82,St. Clair,78,0
2024,August '24,11848.0,21615.0,13550.0,8065.0,3778638.0,319.0,175.0,1.82,St. Clair,78,0
2024,September '24,11896.0,21750.0,13621.0,8129.0,3823053.0,321.0,176.0,1.83,St. Clair,78,0
2024,October '23,11834.0,21757.0,13609.0,8148.0,3853748.0,326.0,177.0,1.84,St. Clair,78,1
2024,November '23,11812.0,21686.0,13560.0,8126.0,3866035.0,327.0,178.0,1.84,St. Clair,78,1
2024,December '23,11869.0,21714.0,13626.0,8088.0,3884696.0,327.0,179.0,1.83,St. Clair,78,1
2024,January '24,11946.0,21846.0,13706.0,8140.0,3842755.0,322.0,176.0,1.83,St. Clair,78,1
2024,February '24,11973.0,21903.0,13766.0,8137.0,3831285.0,320.0,175.0,1.83,St. Clair,78,1
2024,March '24,11931.0,21850.0,13730.0,8120.0,3820505.0,320.0,175.0,1.83,St. Clair,78,1
2024,April '24,11915.0,21804.0,13700.0,8104.0,3810360.0,320.0,175.0,1.83,St. Clair,78,1
2024,May '24,11790.0,21559.0,13558.0,8001.0,3794859.0,322.0,176.0,1.83,St. Clair,78,1
2024,June '24,11797.0,21580.0,13523.0,8057.0,3805568.0,323.0,176.0,1.83,St. Clair,78,1
2024,July '24,11773.0,21483.0,13470.0,8013.0,3817224.0,324.0,178.0,1.82,St. Clair,78,1
2024,August '24,11848.0,21615.0,13550.0,8065.0,3778638.0,319.0,175.0,1.82,St. Clair,78,1
2024,September '24,11896.0,21750.0,13621.0,8129.0,3823053.0,321.0,176.0,1.83,St. Clair,78,1
