year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2024,October '23,3728.0,7248.0,4524.0,2724.0,1174145.0,315.0,162.0,1.94,Tuscola,80,0
2024,November '23,3717.0,7227.0,4508.0,2719.0,1177480.0,317.0,163.0,1.94,Tuscola,80,0
2024,December '23,3755.0,7276.0,4544.0,2732.0,1190579.0,317.0,164.0,1.94,Tuscola,80,0
2024,January '24,3777.0,7315.0,4564.0,2751.0,1171121.0,310.0,160.0,1.94,Tuscola,80,0
2024,February '24,3788.0,7341.0,4589.0,2752.0,1177167.0,311.0,160.0,1.94,Tuscola,80,0
2024,March '24,3774.0,7284.0,4582.0,2702.0,1173145.0,311.0,161.0,1.93,Tuscola,80,0
2024,April '24,3739.0,7192.0,4545.0,2647.0,1158749.0,310.0,161.0,1.92,Tuscola,80,0
2024,May '24,3746.0,7213.0,4553.0,2660.0,1154137.0,308.0,160.0,1.93,Tuscola,80,0
2024,June '24,3717.0,7222.0,4528.0,2694.0,1157502.0,311.0,160.0,1.94,Tuscola,80,0
2024,July '24,3689.0,7178.0,4500.0,2678.0,1166344.0,316.0,162.0,1.95,Tuscola,80,0
2024,August '24,3674.0,7057.0,4444.0,2613.0,1143107.0,311.0,162.0,1.92,Tuscola,80,0
2024,September '24,3682.0,7098.0,4461.0,2637.0,1165216.0,316.0,164.0,1.93,Tuscola,80,0
2024,October '23,3728.0,7248.0,4524.0,2724.0,1174145.0,315.0,162.0,1.94,Tuscola,80,1
2024,November '23,3717.0,7227.0,4508.0,2719.0,1177480.0,317.0,163.0,1.94,Tuscola,80,1
2024,December '23,3755.0,7276.0,4544.0,2732.0,1190579.0,317.0,164.0,1.94,Tuscola,80,1
2024,January '24,3777.0,7315.0,4564.0,2751.0,1171121.0,310.0,160.0,1.94,Tuscola,80,1
2024,February '24,3788.0,7341.0,4589.0,2752.0,1177167.0,311.0,160.0,1.94,Tuscola,80,1
2024,March '24,3774.0,7284.0,4582.0,2702.0,1173145.0,311.0,161.0,1.93,Tuscola,80,1
2024,April '24,3739.0,7192.0,4545.0,2647.0,1158749.0,310.0,161.0,1.92,Tuscola,80,1
2024,May '24,3746.0,7213.0,4553.0,2660.0,1154137.0,308.0,160.0,1.93,Tuscola,80,1
2024,June '24,3717.0,7222.0,4528.0,2694.0,1157502.0,311.0,160.0,1.94,Tuscola,80,1
2024,July '24,3689.0,7178.0,4500.0,2678.0,1166344.0,316.0,162.0,1.95,Tuscola,80,1
2024,August '24,3674.0,7057.0,4444.0,2613.0,1143107.0,311.0,162.0,1.92,Tuscola,80,1
2024,September '24,3682.0,7098.0,4461.0,2637.0,1165216.0,316.0,164.0,1.93,Tuscola,80,1
