year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2024,October '23,397.0,690.0,407.0,283.0,193830.0,488.0,281.0,1.74,X-Unassigned,85,0
2024,November '23,359.0,644.0,366.0,278.0,161113.0,449.0,250.0,1.79,X-Unassigned,85,0
2024,December '23,327.0,589.0,334.0,255.0,141024.0,431.0,239.0,1.8,X-Unassigned,85,0
2024,January '24,347.0,621.0,358.0,263.0,148479.0,428.0,239.0,1.79,X-Unassigned,85,0
2024,February '24,361.0,658.0,360.0,298.0,155693.0,431.0,237.0,1.82,X-Unassigned,85,0
2024,March '24,390.0,698.0,404.0,294.0,182364.0,468.0,261.0,1.79,X-Unassigned,85,0
2024,April '24,440.0,799.0,456.0,343.0,181122.0,412.0,227.0,1.82,X-Unassigned,85,0
2024,May '24,392.0,713.0,399.0,314.0,186105.0,475.0,261.0,1.82,X-Unassigned,85,0
2024,June '24,401.0,712.0,413.0,299.0,168859.0,421.0,237.0,1.78,X-Unassigned,85,0
2024,July '24,464.0,823.0,479.0,344.0,202737.0,437.0,246.0,1.77,X-Unassigned,85,0
2024,August '24,475.0,866.0,498.0,368.0,230976.0,486.0,267.0,1.82,X-Unassigned,85,0
2024,September '24,518.0,933.0,539.0,394.0,215168.0,415.0,231.0,1.8,X-Unassigned,85,0
2024,October '23,397.0,690.0,407.0,283.0,193830.0,488.0,281.0,1.74,X-Unassigned,85,1
2024,November '23,359.0,644.0,366.0,278.0,161113.0,449.0,250.0,1.79,X-Unassigned,85,1
2024,December '23,327.0,589.0,334.0,255.0,141024.0,431.0,239.0,1.8,X-Unassigned,85,1
2024,January '24,347.0,621.0,358.0,263.0,148479.0,428.0,239.0,1.79,X-Unassigned,85,1
2024,February '24,361.0,658.0,360.0,298.0,155693.0,431.0,237.0,1.82,X-Unassigned,85,1
2024,March '24,390.0,698.0,404.0,294.0,182364.0,468.0,261.0,1.79,X-Unassigned,85,1
2024,April '24,440.0,799.0,456.0,343.0,181122.0,412.0,227.0,1.82,X-Unassigned,85,1
2024,May '24,392.0,713.0,399.0,314.0,186105.0,475.0,261.0,1.82,X-Unassigned,85,1
2024,June '24,401.0,712.0,413.0,299.0,168859.0,421.0,237.0,1.78,X-Unassigned,85,1
2024,July '24,464.0,823.0,479.0,344.0,202737.0,437.0,246.0,1.77,X-Unassigned,85,1
2024,August '24,475.0,866.0,498.0,368.0,230976.0,486.0,267.0,1.82,X-Unassigned,85,1
2024,September '24,518.0,933.0,539.0,394.0,215168.0,415.0,231.0,1.8,X-Unassigned,85,1
