year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,1148.0,2242.0,1410.0,832.0,357493.0,311.0,159.0,1.95,Antrim,6,0
2025,November '24,1149.0,2233.0,1417.0,816.0,356002.0,310.0,159.0,1.94,Antrim,6,0
2025,December '24,1156.0,2236.0,1419.0,817.0,356736.0,309.0,160.0,1.93,Antrim,6,0
2025,January '25,1200.0,2322.0,1473.0,849.0,366644.0,306.0,158.0,1.94,Antrim,6,0
2025,February '25,1213.0,2357.0,1489.0,868.0,381183.0,314.0,162.0,1.94,Antrim,6,0
2025,March '25,1204.0,2353.0,1483.0,870.0,377228.0,313.0,160.0,1.95,Antrim,6,0
2025,April '25,1200.0,2378.0,1480.0,898.0,384355.0,320.0,162.0,1.98,Antrim,6,0
2025,May '25,1199.0,2388.0,1485.0,903.0,378186.0,315.0,158.0,1.99,Antrim,6,0
2025,June '25,1172.0,2299.0,1446.0,853.0,365038.0,311.0,159.0,1.96,Antrim,6,0
2025,July '25,1153.0,2279.0,1427.0,852.0,363394.0,315.0,159.0,1.98,Antrim,6,0
2025,August '25,1125.0,2188.0,1382.0,806.0,354462.0,315.0,162.0,1.94,Antrim,6,0
2025,September '25,1116.0,2159.0,1370.0,789.0,351213.0,315.0,163.0,1.93,Antrim,6,0
2025,October '24,1148.0,2242.0,1410.0,832.0,357493.0,311.0,159.0,1.95,Antrim,6,1
2025,November '24,1149.0,2233.0,1417.0,816.0,356002.0,310.0,159.0,1.94,Antrim,6,1
2025,December '24,1156.0,2236.0,1419.0,817.0,356736.0,309.0,160.0,1.93,Antrim,6,1
2025,January '25,1200.0,2322.0,1473.0,849.0,366644.0,306.0,158.0,1.94,Antrim,6,1
2025,February '25,1213.0,2357.0,1489.0,868.0,381183.0,314.0,162.0,1.94,Antrim,6,1
2025,March '25,1204.0,2353.0,1483.0,870.0,377228.0,313.0,160.0,1.95,Antrim,6,1
2025,April '25,1200.0,2378.0,1480.0,898.0,384355.0,320.0,162.0,1.98,Antrim,6,1
2025,May '25,1199.0,2388.0,1485.0,903.0,378186.0,315.0,158.0,1.99,Antrim,6,1
2025,June '25,1172.0,2299.0,1446.0,853.0,365038.0,311.0,159.0,1.96,Antrim,6,1
2025,July '25,1153.0,2279.0,1427.0,852.0,363394.0,315.0,159.0,1.98,Antrim,6,1
2025,August '25,1125.0,2188.0,1382.0,806.0,354462.0,315.0,162.0,1.94,Antrim,6,1
2025,September '25,1116.0,2159.0,1370.0,789.0,351213.0,315.0,163.0,1.93,Antrim,6,1
