year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,1252.0,2296.0,1527.0,769.0,363282.0,290.0,158.0,1.83,Arenac,7,0
2025,November '24,1256.0,2279.0,1535.0,744.0,359881.0,287.0,158.0,1.81,Arenac,7,0
2025,December '24,1264.0,2308.0,1545.0,763.0,368343.0,291.0,160.0,1.83,Arenac,7,0
2025,January '25,1284.0,2343.0,1568.0,775.0,359105.0,280.0,153.0,1.82,Arenac,7,0
2025,February '25,1293.0,2353.0,1573.0,780.0,370785.0,287.0,158.0,1.82,Arenac,7,0
2025,March '25,1290.0,2337.0,1568.0,769.0,355727.0,276.0,152.0,1.81,Arenac,7,0
2025,April '25,1289.0,2349.0,1568.0,781.0,363702.0,282.0,155.0,1.82,Arenac,7,0
2025,May '25,1278.0,2333.0,1557.0,776.0,361170.0,283.0,155.0,1.83,Arenac,7,0
2025,June '25,1261.0,2290.0,1531.0,759.0,355426.0,282.0,155.0,1.82,Arenac,7,0
2025,July '25,1248.0,2278.0,1520.0,758.0,359308.0,288.0,158.0,1.83,Arenac,7,0
2025,August '25,1250.0,2276.0,1517.0,759.0,362945.0,290.0,159.0,1.82,Arenac,7,0
2025,September '25,1253.0,2249.0,1511.0,738.0,364307.0,291.0,162.0,1.79,Arenac,7,0
2025,October '24,1252.0,2296.0,1527.0,769.0,363282.0,290.0,158.0,1.83,Arenac,7,1
2025,November '24,1256.0,2279.0,1535.0,744.0,359881.0,287.0,158.0,1.81,Arenac,7,1
2025,December '24,1264.0,2308.0,1545.0,763.0,368343.0,291.0,160.0,1.83,Arenac,7,1
2025,January '25,1284.0,2343.0,1568.0,775.0,359105.0,280.0,153.0,1.82,Arenac,7,1
2025,February '25,1293.0,2353.0,1573.0,780.0,370785.0,287.0,158.0,1.82,Arenac,7,1
2025,March '25,1290.0,2337.0,1568.0,769.0,355727.0,276.0,152.0,1.81,Arenac,7,1
2025,April '25,1289.0,2349.0,1568.0,781.0,363702.0,282.0,155.0,1.82,Arenac,7,1
2025,May '25,1278.0,2333.0,1557.0,776.0,361170.0,283.0,155.0,1.83,Arenac,7,1
2025,June '25,1261.0,2290.0,1531.0,759.0,355426.0,282.0,155.0,1.82,Arenac,7,1
2025,July '25,1248.0,2278.0,1520.0,758.0,359308.0,288.0,158.0,1.83,Arenac,7,1
2025,August '25,1250.0,2276.0,1517.0,759.0,362945.0,290.0,159.0,1.82,Arenac,7,1
2025,September '25,1253.0,2249.0,1511.0,738.0,364307.0,291.0,162.0,1.79,Arenac,7,1
