year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,782.0,1479.0,957.0,522.0,238216.0,305.0,161.0,1.89,Benzie,11,0
2025,November '24,774.0,1482.0,944.0,538.0,234158.0,303.0,158.0,1.91,Benzie,11,0
2025,December '24,790.0,1511.0,963.0,548.0,245092.0,310.0,162.0,1.91,Benzie,11,0
2025,January '25,807.0,1563.0,985.0,578.0,249768.0,310.0,160.0,1.94,Benzie,11,0
2025,February '25,812.0,1592.0,1005.0,587.0,255764.0,315.0,161.0,1.96,Benzie,11,0
2025,March '25,812.0,1554.0,991.0,563.0,253146.0,312.0,163.0,1.91,Benzie,11,0
2025,April '25,813.0,1555.0,994.0,561.0,257245.0,316.0,165.0,1.91,Benzie,11,0
2025,May '25,816.0,1581.0,1003.0,578.0,248427.0,304.0,157.0,1.94,Benzie,11,0
2025,June '25,815.0,1538.0,990.0,548.0,246437.0,302.0,160.0,1.89,Benzie,11,0
2025,July '25,797.0,1481.0,961.0,520.0,245442.0,308.0,166.0,1.86,Benzie,11,0
2025,August '25,791.0,1483.0,956.0,527.0,244510.0,309.0,165.0,1.87,Benzie,11,0
2025,September '25,795.0,1496.0,961.0,535.0,246639.0,310.0,165.0,1.88,Benzie,11,0
2025,October '24,782.0,1479.0,957.0,522.0,238216.0,305.0,161.0,1.89,Benzie,11,1
2025,November '24,774.0,1482.0,944.0,538.0,234158.0,303.0,158.0,1.91,Benzie,11,1
2025,December '24,790.0,1511.0,963.0,548.0,245092.0,310.0,162.0,1.91,Benzie,11,1
2025,January '25,807.0,1563.0,985.0,578.0,249768.0,310.0,160.0,1.94,Benzie,11,1
2025,February '25,812.0,1592.0,1005.0,587.0,255764.0,315.0,161.0,1.96,Benzie,11,1
2025,March '25,812.0,1554.0,991.0,563.0,253146.0,312.0,163.0,1.91,Benzie,11,1
2025,April '25,813.0,1555.0,994.0,561.0,257245.0,316.0,165.0,1.91,Benzie,11,1
2025,May '25,816.0,1581.0,1003.0,578.0,248427.0,304.0,157.0,1.94,Benzie,11,1
2025,June '25,815.0,1538.0,990.0,548.0,246437.0,302.0,160.0,1.89,Benzie,11,1
2025,July '25,797.0,1481.0,961.0,520.0,245442.0,308.0,166.0,1.86,Benzie,11,1
2025,August '25,791.0,1483.0,956.0,527.0,244510.0,309.0,165.0,1.87,Benzie,11,1
2025,September '25,795.0,1496.0,961.0,535.0,246639.0,310.0,165.0,1.88,Benzie,11,1
