year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,12428.0,23023.0,13664.0,9359.0,4118786.0,331.0,179.0,1.85,Berrien,12,0
2025,November '24,12439.0,23024.0,13734.0,9290.0,4105756.0,330.0,178.0,1.85,Berrien,12,0
2025,December '24,12555.0,23138.0,13855.0,9283.0,4158500.0,331.0,180.0,1.84,Berrien,12,0
2025,January '25,12598.0,23187.0,13944.0,9243.0,4143886.0,329.0,179.0,1.84,Berrien,12,0
2025,February '25,12673.0,23379.0,14069.0,9310.0,4170411.0,329.0,178.0,1.84,Berrien,12,0
2025,March '25,12694.0,23397.0,14104.0,9293.0,4131553.0,325.0,177.0,1.84,Berrien,12,0
2025,April '25,12551.0,23097.0,13931.0,9166.0,4147330.0,330.0,180.0,1.84,Berrien,12,0
2025,May '25,12506.0,22991.0,13874.0,9117.0,4053746.0,324.0,176.0,1.84,Berrien,12,0
2025,June '25,12485.0,23029.0,13853.0,9176.0,4134477.0,331.0,180.0,1.84,Berrien,12,0
2025,July '25,12424.0,22924.0,13783.0,9141.0,4144955.0,334.0,181.0,1.85,Berrien,12,0
2025,August '25,12352.0,22835.0,13719.0,9116.0,4138048.0,335.0,181.0,1.85,Berrien,12,0
2025,September '25,12392.0,22881.0,13753.0,9128.0,4115113.0,332.0,180.0,1.85,Berrien,12,0
2025,October '24,12428.0,23023.0,13664.0,9359.0,4118786.0,331.0,179.0,1.85,Berrien,12,1
2025,November '24,12439.0,23024.0,13734.0,9290.0,4105756.0,330.0,178.0,1.85,Berrien,12,1
2025,December '24,12555.0,23138.0,13855.0,9283.0,4158500.0,331.0,180.0,1.84,Berrien,12,1
2025,January '25,12598.0,23187.0,13944.0,9243.0,4143886.0,329.0,179.0,1.84,Berrien,12,1
2025,February '25,12673.0,23379.0,14069.0,9310.0,4170411.0,329.0,178.0,1.84,Berrien,12,1
2025,March '25,12694.0,23397.0,14104.0,9293.0,4131553.0,325.0,177.0,1.84,Berrien,12,1
2025,April '25,12551.0,23097.0,13931.0,9166.0,4147330.0,330.0,180.0,1.84,Berrien,12,1
2025,May '25,12506.0,22991.0,13874.0,9117.0,4053746.0,324.0,176.0,1.84,Berrien,12,1
2025,June '25,12485.0,23029.0,13853.0,9176.0,4134477.0,331.0,180.0,1.84,Berrien,12,1
2025,July '25,12424.0,22924.0,13783.0,9141.0,4144955.0,334.0,181.0,1.85,Berrien,12,1
2025,August '25,12352.0,22835.0,13719.0,9116.0,4138048.0,335.0,181.0,1.85,Berrien,12,1
2025,September '25,12392.0,22881.0,13753.0,9128.0,4115113.0,332.0,180.0,1.85,Berrien,12,1
