year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,2826.0,5716.0,3443.0,2273.0,919014.0,325.0,161.0,2.02,Branch,13,0
2025,November '24,2850.0,5725.0,3470.0,2255.0,914510.0,321.0,160.0,2.01,Branch,13,0
2025,December '24,2865.0,5747.0,3482.0,2265.0,926746.0,323.0,161.0,2.01,Branch,13,0
2025,January '25,2879.0,5775.0,3508.0,2267.0,915568.0,318.0,159.0,2.01,Branch,13,0
2025,February '25,2898.0,5806.0,3536.0,2270.0,921247.0,318.0,159.0,2.0,Branch,13,0
2025,March '25,2859.0,5680.0,3484.0,2196.0,891618.0,312.0,157.0,1.99,Branch,13,0
2025,April '25,2829.0,5666.0,3459.0,2207.0,891492.0,315.0,157.0,2.0,Branch,13,0
2025,May '25,2772.0,5484.0,3377.0,2107.0,863309.0,311.0,157.0,1.98,Branch,13,0
2025,June '25,2764.0,5494.0,3378.0,2116.0,865563.0,313.0,158.0,1.99,Branch,13,0
2025,July '25,2751.0,5400.0,3345.0,2055.0,872022.0,317.0,161.0,1.96,Branch,13,0
2025,August '25,2774.0,5474.0,3370.0,2104.0,892461.0,322.0,163.0,1.97,Branch,13,0
2025,September '25,2798.0,5510.0,3394.0,2116.0,895793.0,320.0,163.0,1.97,Branch,13,0
2025,October '24,2826.0,5716.0,3443.0,2273.0,919014.0,325.0,161.0,2.02,Branch,13,1
2025,November '24,2850.0,5725.0,3470.0,2255.0,914510.0,321.0,160.0,2.01,Branch,13,1
2025,December '24,2865.0,5747.0,3482.0,2265.0,926746.0,323.0,161.0,2.01,Branch,13,1
2025,January '25,2879.0,5775.0,3508.0,2267.0,915568.0,318.0,159.0,2.01,Branch,13,1
2025,February '25,2898.0,5806.0,3536.0,2270.0,921247.0,318.0,159.0,2.0,Branch,13,1
2025,March '25,2859.0,5680.0,3484.0,2196.0,891618.0,312.0,157.0,1.99,Branch,13,1
2025,April '25,2829.0,5666.0,3459.0,2207.0,891492.0,315.0,157.0,2.0,Branch,13,1
2025,May '25,2772.0,5484.0,3377.0,2107.0,863309.0,311.0,157.0,1.98,Branch,13,1
2025,June '25,2764.0,5494.0,3378.0,2116.0,865563.0,313.0,158.0,1.99,Branch,13,1
2025,July '25,2751.0,5400.0,3345.0,2055.0,872022.0,317.0,161.0,1.96,Branch,13,1
2025,August '25,2774.0,5474.0,3370.0,2104.0,892461.0,322.0,163.0,1.97,Branch,13,1
2025,September '25,2798.0,5510.0,3394.0,2116.0,895793.0,320.0,163.0,1.97,Branch,13,1
