year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,12836.0,24103.0,14676.0,9427.0,4266708.0,332.0,177.0,1.88,Calhoun,14,0
2025,November '24,12857.0,24244.0,14787.0,9457.0,4258247.0,331.0,176.0,1.89,Calhoun,14,0
2025,December '24,12912.0,24319.0,14867.0,9452.0,4276606.0,331.0,176.0,1.88,Calhoun,14,0
2025,January '25,12953.0,24316.0,14947.0,9369.0,4238115.0,327.0,174.0,1.88,Calhoun,14,0
2025,February '25,13047.0,24515.0,15074.0,9441.0,4264860.0,327.0,174.0,1.88,Calhoun,14,0
2025,March '25,13109.0,24591.0,15102.0,9489.0,4225284.0,322.0,172.0,1.88,Calhoun,14,0
2025,April '25,12950.0,24198.0,14933.0,9265.0,4220631.0,326.0,174.0,1.87,Calhoun,14,0
2025,May '25,12800.0,23863.0,14725.0,9138.0,4100668.0,320.0,172.0,1.86,Calhoun,14,0
2025,June '25,12779.0,23815.0,14704.0,9111.0,4138046.0,324.0,174.0,1.86,Calhoun,14,0
2025,July '25,12780.0,23817.0,14693.0,9124.0,4194814.0,328.0,176.0,1.86,Calhoun,14,0
2025,August '25,12887.0,24055.0,14805.0,9250.0,4286655.0,333.0,178.0,1.87,Calhoun,14,0
2025,September '25,12957.0,24129.0,14847.0,9282.0,4289722.0,331.0,178.0,1.86,Calhoun,14,0
2025,October '24,12836.0,24103.0,14676.0,9427.0,4266708.0,332.0,177.0,1.88,Calhoun,14,1
2025,November '24,12857.0,24244.0,14787.0,9457.0,4258247.0,331.0,176.0,1.89,Calhoun,14,1
2025,December '24,12912.0,24319.0,14867.0,9452.0,4276606.0,331.0,176.0,1.88,Calhoun,14,1
2025,January '25,12953.0,24316.0,14947.0,9369.0,4238115.0,327.0,174.0,1.88,Calhoun,14,1
2025,February '25,13047.0,24515.0,15074.0,9441.0,4264860.0,327.0,174.0,1.88,Calhoun,14,1
2025,March '25,13109.0,24591.0,15102.0,9489.0,4225284.0,322.0,172.0,1.88,Calhoun,14,1
2025,April '25,12950.0,24198.0,14933.0,9265.0,4220631.0,326.0,174.0,1.87,Calhoun,14,1
2025,May '25,12800.0,23863.0,14725.0,9138.0,4100668.0,320.0,172.0,1.86,Calhoun,14,1
2025,June '25,12779.0,23815.0,14704.0,9111.0,4138046.0,324.0,174.0,1.86,Calhoun,14,1
2025,July '25,12780.0,23817.0,14693.0,9124.0,4194814.0,328.0,176.0,1.86,Calhoun,14,1
2025,August '25,12887.0,24055.0,14805.0,9250.0,4286655.0,333.0,178.0,1.87,Calhoun,14,1
2025,September '25,12957.0,24129.0,14847.0,9282.0,4289722.0,331.0,178.0,1.86,Calhoun,14,1
