year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,2273.0,4217.0,2650.0,1567.0,715299.0,315.0,170.0,1.86,Chippewa,18,0
2025,November '24,2265.0,4240.0,2648.0,1592.0,713822.0,315.0,168.0,1.87,Chippewa,18,0
2025,December '24,2307.0,4340.0,2694.0,1646.0,721420.0,313.0,166.0,1.88,Chippewa,18,0
2025,January '25,2321.0,4377.0,2726.0,1651.0,728934.0,314.0,167.0,1.89,Chippewa,18,0
2025,February '25,2367.0,4454.0,2789.0,1665.0,744723.0,315.0,167.0,1.88,Chippewa,18,0
2025,March '25,2345.0,4391.0,2759.0,1632.0,726867.0,310.0,166.0,1.87,Chippewa,18,0
2025,April '25,2316.0,4339.0,2736.0,1603.0,726552.0,314.0,167.0,1.87,Chippewa,18,0
2025,May '25,2326.0,4378.0,2750.0,1628.0,719348.0,309.0,164.0,1.88,Chippewa,18,0
2025,June '25,2314.0,4331.0,2726.0,1605.0,716441.0,310.0,165.0,1.87,Chippewa,18,0
2025,July '25,2285.0,4269.0,2690.0,1579.0,715782.0,313.0,168.0,1.87,Chippewa,18,0
2025,August '25,2249.0,4204.0,2641.0,1563.0,699949.0,311.0,166.0,1.87,Chippewa,18,0
2025,September '25,2216.0,4134.0,2595.0,1539.0,691434.0,312.0,167.0,1.87,Chippewa,18,0
2025,October '24,2273.0,4217.0,2650.0,1567.0,715299.0,315.0,170.0,1.86,Chippewa,18,1
2025,November '24,2265.0,4240.0,2648.0,1592.0,713822.0,315.0,168.0,1.87,Chippewa,18,1
2025,December '24,2307.0,4340.0,2694.0,1646.0,721420.0,313.0,166.0,1.88,Chippewa,18,1
2025,January '25,2321.0,4377.0,2726.0,1651.0,728934.0,314.0,167.0,1.89,Chippewa,18,1
2025,February '25,2367.0,4454.0,2789.0,1665.0,744723.0,315.0,167.0,1.88,Chippewa,18,1
2025,March '25,2345.0,4391.0,2759.0,1632.0,726867.0,310.0,166.0,1.87,Chippewa,18,1
2025,April '25,2316.0,4339.0,2736.0,1603.0,726552.0,314.0,167.0,1.87,Chippewa,18,1
2025,May '25,2326.0,4378.0,2750.0,1628.0,719348.0,309.0,164.0,1.88,Chippewa,18,1
2025,June '25,2314.0,4331.0,2726.0,1605.0,716441.0,310.0,165.0,1.87,Chippewa,18,1
2025,July '25,2285.0,4269.0,2690.0,1579.0,715782.0,313.0,168.0,1.87,Chippewa,18,1
2025,August '25,2249.0,4204.0,2641.0,1563.0,699949.0,311.0,166.0,1.87,Chippewa,18,1
2025,September '25,2216.0,4134.0,2595.0,1539.0,691434.0,312.0,167.0,1.87,Chippewa,18,1
