year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,2469.0,4368.0,2898.0,1470.0,691083.0,280.0,158.0,1.77,Delta,22,0
2025,November '24,2455.0,4347.0,2892.0,1455.0,689702.0,281.0,159.0,1.77,Delta,22,0
2025,December '24,2465.0,4362.0,2903.0,1459.0,700474.0,284.0,161.0,1.77,Delta,22,0
2025,January '25,2509.0,4454.0,2966.0,1488.0,705069.0,281.0,158.0,1.78,Delta,22,0
2025,February '25,2521.0,4492.0,2985.0,1507.0,717988.0,285.0,160.0,1.78,Delta,22,0
2025,March '25,2520.0,4512.0,2991.0,1521.0,711097.0,282.0,158.0,1.79,Delta,22,0
2025,April '25,2485.0,4472.0,2955.0,1517.0,705094.0,284.0,158.0,1.8,Delta,22,0
2025,May '25,2486.0,4453.0,2952.0,1501.0,689872.0,278.0,155.0,1.79,Delta,22,0
2025,June '25,2481.0,4441.0,2935.0,1506.0,703378.0,284.0,158.0,1.79,Delta,22,0
2025,July '25,2488.0,4417.0,2922.0,1495.0,711068.0,286.0,161.0,1.78,Delta,22,0
2025,August '25,2468.0,4380.0,2901.0,1479.0,710412.0,288.0,162.0,1.77,Delta,22,0
2025,September '25,2453.0,4334.0,2878.0,1456.0,700532.0,286.0,162.0,1.77,Delta,22,0
2025,October '24,2469.0,4368.0,2898.0,1470.0,691083.0,280.0,158.0,1.77,Delta,22,1
2025,November '24,2455.0,4347.0,2892.0,1455.0,689702.0,281.0,159.0,1.77,Delta,22,1
2025,December '24,2465.0,4362.0,2903.0,1459.0,700474.0,284.0,161.0,1.77,Delta,22,1
2025,January '25,2509.0,4454.0,2966.0,1488.0,705069.0,281.0,158.0,1.78,Delta,22,1
2025,February '25,2521.0,4492.0,2985.0,1507.0,717988.0,285.0,160.0,1.78,Delta,22,1
2025,March '25,2520.0,4512.0,2991.0,1521.0,711097.0,282.0,158.0,1.79,Delta,22,1
2025,April '25,2485.0,4472.0,2955.0,1517.0,705094.0,284.0,158.0,1.8,Delta,22,1
2025,May '25,2486.0,4453.0,2952.0,1501.0,689872.0,278.0,155.0,1.79,Delta,22,1
2025,June '25,2481.0,4441.0,2935.0,1506.0,703378.0,284.0,158.0,1.79,Delta,22,1
2025,July '25,2488.0,4417.0,2922.0,1495.0,711068.0,286.0,161.0,1.78,Delta,22,1
2025,August '25,2468.0,4380.0,2901.0,1479.0,710412.0,288.0,162.0,1.77,Delta,22,1
2025,September '25,2453.0,4334.0,2878.0,1456.0,700532.0,286.0,162.0,1.77,Delta,22,1
