year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,1514.0,2715.0,1762.0,953.0,433921.0,287.0,160.0,1.79,Dickinson,23,0
2025,November '24,1499.0,2688.0,1752.0,936.0,425833.0,284.0,158.0,1.79,Dickinson,23,0
2025,December '24,1485.0,2666.0,1741.0,925.0,425009.0,286.0,159.0,1.8,Dickinson,23,0
2025,January '25,1498.0,2714.0,1769.0,945.0,418886.0,280.0,154.0,1.81,Dickinson,23,0
2025,February '25,1513.0,2711.0,1780.0,931.0,429960.0,284.0,159.0,1.79,Dickinson,23,0
2025,March '25,1488.0,2672.0,1751.0,921.0,426038.0,286.0,159.0,1.8,Dickinson,23,0
2025,April '25,1483.0,2637.0,1740.0,897.0,423506.0,286.0,161.0,1.78,Dickinson,23,0
2025,May '25,1497.0,2659.0,1751.0,908.0,423754.0,283.0,159.0,1.78,Dickinson,23,0
2025,June '25,1502.0,2667.0,1750.0,917.0,436969.0,291.0,164.0,1.78,Dickinson,23,0
2025,July '25,1507.0,2643.0,1736.0,907.0,439153.0,291.0,166.0,1.75,Dickinson,23,0
2025,August '25,1512.0,2646.0,1742.0,904.0,440996.0,292.0,167.0,1.75,Dickinson,23,0
2025,September '25,1499.0,2624.0,1735.0,889.0,434688.0,290.0,166.0,1.75,Dickinson,23,0
2025,October '24,1514.0,2715.0,1762.0,953.0,433921.0,287.0,160.0,1.79,Dickinson,23,1
2025,November '24,1499.0,2688.0,1752.0,936.0,425833.0,284.0,158.0,1.79,Dickinson,23,1
2025,December '24,1485.0,2666.0,1741.0,925.0,425009.0,286.0,159.0,1.8,Dickinson,23,1
2025,January '25,1498.0,2714.0,1769.0,945.0,418886.0,280.0,154.0,1.81,Dickinson,23,1
2025,February '25,1513.0,2711.0,1780.0,931.0,429960.0,284.0,159.0,1.79,Dickinson,23,1
2025,March '25,1488.0,2672.0,1751.0,921.0,426038.0,286.0,159.0,1.8,Dickinson,23,1
2025,April '25,1483.0,2637.0,1740.0,897.0,423506.0,286.0,161.0,1.78,Dickinson,23,1
2025,May '25,1497.0,2659.0,1751.0,908.0,423754.0,283.0,159.0,1.78,Dickinson,23,1
2025,June '25,1502.0,2667.0,1750.0,917.0,436969.0,291.0,164.0,1.78,Dickinson,23,1
2025,July '25,1507.0,2643.0,1736.0,907.0,439153.0,291.0,166.0,1.75,Dickinson,23,1
2025,August '25,1512.0,2646.0,1742.0,904.0,440996.0,292.0,167.0,1.75,Dickinson,23,1
2025,September '25,1499.0,2624.0,1735.0,889.0,434688.0,290.0,166.0,1.75,Dickinson,23,1
