year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,5805.0,11038.0,6751.0,4287.0,1916456.0,330.0,174.0,1.9,Eaton,24,0
2025,November '24,5831.0,11145.0,6809.0,4336.0,1921459.0,330.0,172.0,1.91,Eaton,24,0
2025,December '24,5835.0,11116.0,6810.0,4306.0,1909487.0,327.0,172.0,1.91,Eaton,24,0
2025,January '25,5857.0,11198.0,6828.0,4370.0,1923340.0,328.0,172.0,1.91,Eaton,24,0
2025,February '25,5922.0,11297.0,6892.0,4405.0,1945994.0,329.0,172.0,1.91,Eaton,24,0
2025,March '25,5917.0,11237.0,6892.0,4345.0,1921610.0,325.0,171.0,1.9,Eaton,24,0
2025,April '25,5888.0,11168.0,6845.0,4323.0,1921055.0,326.0,172.0,1.9,Eaton,24,0
2025,May '25,5855.0,11028.0,6785.0,4243.0,1873605.0,320.0,170.0,1.88,Eaton,24,0
2025,June '25,5807.0,10995.0,6742.0,4253.0,1901399.0,327.0,173.0,1.89,Eaton,24,0
2025,July '25,5818.0,11016.0,6736.0,4280.0,1943274.0,334.0,176.0,1.89,Eaton,24,0
2025,August '25,5757.0,10914.0,6677.0,4237.0,1941750.0,337.0,178.0,1.9,Eaton,24,0
2025,September '25,5733.0,10861.0,6630.0,4231.0,1923739.0,336.0,177.0,1.89,Eaton,24,0
2025,October '24,5805.0,11038.0,6751.0,4287.0,1916456.0,330.0,174.0,1.9,Eaton,24,1
2025,November '24,5831.0,11145.0,6809.0,4336.0,1921459.0,330.0,172.0,1.91,Eaton,24,1
2025,December '24,5835.0,11116.0,6810.0,4306.0,1909487.0,327.0,172.0,1.91,Eaton,24,1
2025,January '25,5857.0,11198.0,6828.0,4370.0,1923340.0,328.0,172.0,1.91,Eaton,24,1
2025,February '25,5922.0,11297.0,6892.0,4405.0,1945994.0,329.0,172.0,1.91,Eaton,24,1
2025,March '25,5917.0,11237.0,6892.0,4345.0,1921610.0,325.0,171.0,1.9,Eaton,24,1
2025,April '25,5888.0,11168.0,6845.0,4323.0,1921055.0,326.0,172.0,1.9,Eaton,24,1
2025,May '25,5855.0,11028.0,6785.0,4243.0,1873605.0,320.0,170.0,1.88,Eaton,24,1
2025,June '25,5807.0,10995.0,6742.0,4253.0,1901399.0,327.0,173.0,1.89,Eaton,24,1
2025,July '25,5818.0,11016.0,6736.0,4280.0,1943274.0,334.0,176.0,1.89,Eaton,24,1
2025,August '25,5757.0,10914.0,6677.0,4237.0,1941750.0,337.0,178.0,1.9,Eaton,24,1
2025,September '25,5733.0,10861.0,6630.0,4231.0,1923739.0,336.0,177.0,1.89,Eaton,24,1
