year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,2301.0,4036.0,2783.0,1253.0,678719.0,295.0,168.0,1.75,Gladwin,27,0
2025,November '24,2294.0,4048.0,2784.0,1264.0,678072.0,296.0,168.0,1.76,Gladwin,27,0
2025,December '24,2314.0,4087.0,2813.0,1274.0,687031.0,297.0,168.0,1.77,Gladwin,27,0
2025,January '25,2317.0,4076.0,2817.0,1259.0,679449.0,293.0,167.0,1.76,Gladwin,27,0
2025,February '25,2343.0,4117.0,2849.0,1268.0,695315.0,297.0,169.0,1.76,Gladwin,27,0
2025,March '25,2345.0,4073.0,2850.0,1223.0,684483.0,292.0,168.0,1.74,Gladwin,27,0
2025,April '25,2345.0,4085.0,2862.0,1223.0,686670.0,293.0,168.0,1.74,Gladwin,27,0
2025,May '25,2340.0,4069.0,2850.0,1219.0,671079.0,287.0,165.0,1.74,Gladwin,27,0
2025,June '25,2335.0,4030.0,2828.0,1202.0,672698.0,288.0,167.0,1.73,Gladwin,27,0
2025,July '25,2306.0,3969.0,2787.0,1182.0,676154.0,293.0,170.0,1.72,Gladwin,27,0
2025,August '25,2304.0,4000.0,2794.0,1206.0,674605.0,293.0,169.0,1.74,Gladwin,27,0
2025,September '25,2323.0,4057.0,2816.0,1241.0,684708.0,295.0,169.0,1.75,Gladwin,27,0
2025,October '24,2301.0,4036.0,2783.0,1253.0,678719.0,295.0,168.0,1.75,Gladwin,27,1
2025,November '24,2294.0,4048.0,2784.0,1264.0,678072.0,296.0,168.0,1.76,Gladwin,27,1
2025,December '24,2314.0,4087.0,2813.0,1274.0,687031.0,297.0,168.0,1.77,Gladwin,27,1
2025,January '25,2317.0,4076.0,2817.0,1259.0,679449.0,293.0,167.0,1.76,Gladwin,27,1
2025,February '25,2343.0,4117.0,2849.0,1268.0,695315.0,297.0,169.0,1.76,Gladwin,27,1
2025,March '25,2345.0,4073.0,2850.0,1223.0,684483.0,292.0,168.0,1.74,Gladwin,27,1
2025,April '25,2345.0,4085.0,2862.0,1223.0,686670.0,293.0,168.0,1.74,Gladwin,27,1
2025,May '25,2340.0,4069.0,2850.0,1219.0,671079.0,287.0,165.0,1.74,Gladwin,27,1
2025,June '25,2335.0,4030.0,2828.0,1202.0,672698.0,288.0,167.0,1.73,Gladwin,27,1
2025,July '25,2306.0,3969.0,2787.0,1182.0,676154.0,293.0,170.0,1.72,Gladwin,27,1
2025,August '25,2304.0,4000.0,2794.0,1206.0,674605.0,293.0,169.0,1.74,Gladwin,27,1
2025,September '25,2323.0,4057.0,2816.0,1241.0,684708.0,295.0,169.0,1.75,Gladwin,27,1
