year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,1465.0,2511.0,1722.0,789.0,418424.0,286.0,167.0,1.71,Gogebic,28,0
2025,November '24,1451.0,2483.0,1707.0,776.0,419304.0,289.0,169.0,1.71,Gogebic,28,0
2025,December '24,1447.0,2480.0,1703.0,777.0,415119.0,287.0,167.0,1.71,Gogebic,28,0
2025,January '25,1446.0,2473.0,1707.0,766.0,407821.0,282.0,165.0,1.71,Gogebic,28,0
2025,February '25,1447.0,2480.0,1717.0,763.0,406026.0,281.0,164.0,1.71,Gogebic,28,0
2025,March '25,1455.0,2509.0,1737.0,772.0,397488.0,273.0,158.0,1.72,Gogebic,28,0
2025,April '25,1464.0,2517.0,1743.0,774.0,409961.0,280.0,163.0,1.72,Gogebic,28,0
2025,May '25,1499.0,2574.0,1783.0,791.0,408356.0,272.0,159.0,1.72,Gogebic,28,0
2025,June '25,1493.0,2569.0,1776.0,793.0,423975.0,284.0,165.0,1.72,Gogebic,28,0
2025,July '25,1489.0,2555.0,1765.0,790.0,426881.0,287.0,167.0,1.72,Gogebic,28,0
2025,August '25,1483.0,2549.0,1762.0,787.0,424537.0,286.0,167.0,1.72,Gogebic,28,0
2025,September '25,1474.0,2544.0,1749.0,795.0,425469.0,289.0,167.0,1.73,Gogebic,28,0
2025,October '24,1465.0,2511.0,1722.0,789.0,418424.0,286.0,167.0,1.71,Gogebic,28,1
2025,November '24,1451.0,2483.0,1707.0,776.0,419304.0,289.0,169.0,1.71,Gogebic,28,1
2025,December '24,1447.0,2480.0,1703.0,777.0,415119.0,287.0,167.0,1.71,Gogebic,28,1
2025,January '25,1446.0,2473.0,1707.0,766.0,407821.0,282.0,165.0,1.71,Gogebic,28,1
2025,February '25,1447.0,2480.0,1717.0,763.0,406026.0,281.0,164.0,1.71,Gogebic,28,1
2025,March '25,1455.0,2509.0,1737.0,772.0,397488.0,273.0,158.0,1.72,Gogebic,28,1
2025,April '25,1464.0,2517.0,1743.0,774.0,409961.0,280.0,163.0,1.72,Gogebic,28,1
2025,May '25,1499.0,2574.0,1783.0,791.0,408356.0,272.0,159.0,1.72,Gogebic,28,1
2025,June '25,1493.0,2569.0,1776.0,793.0,423975.0,284.0,165.0,1.72,Gogebic,28,1
2025,July '25,1489.0,2555.0,1765.0,790.0,426881.0,287.0,167.0,1.72,Gogebic,28,1
2025,August '25,1483.0,2549.0,1762.0,787.0,424537.0,286.0,167.0,1.72,Gogebic,28,1
2025,September '25,1474.0,2544.0,1749.0,795.0,425469.0,289.0,167.0,1.73,Gogebic,28,1
