year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,1890.0,3484.0,2256.0,1228.0,566061.0,300.0,162.0,1.84,Houghton,32,0
2025,November '24,1881.0,3474.0,2245.0,1229.0,552712.0,294.0,159.0,1.85,Houghton,32,0
2025,December '24,1873.0,3464.0,2237.0,1227.0,557916.0,298.0,161.0,1.85,Houghton,32,0
2025,January '25,1886.0,3462.0,2253.0,1209.0,543856.0,288.0,157.0,1.84,Houghton,32,0
2025,February '25,1881.0,3487.0,2256.0,1231.0,549135.0,292.0,157.0,1.85,Houghton,32,0
2025,March '25,1887.0,3518.0,2269.0,1249.0,543466.0,288.0,154.0,1.86,Houghton,32,0
2025,April '25,1874.0,3486.0,2256.0,1230.0,543153.0,290.0,156.0,1.86,Houghton,32,0
2025,May '25,1856.0,3454.0,2222.0,1232.0,535776.0,289.0,155.0,1.86,Houghton,32,0
2025,June '25,1864.0,3458.0,2225.0,1233.0,550424.0,295.0,159.0,1.86,Houghton,32,0
2025,July '25,1841.0,3460.0,2207.0,1253.0,559853.0,304.0,162.0,1.88,Houghton,32,0
2025,August '25,1804.0,3392.0,2158.0,1234.0,548575.0,304.0,162.0,1.88,Houghton,32,0
2025,September '25,1813.0,3389.0,2159.0,1230.0,538476.0,297.0,159.0,1.87,Houghton,32,0
2025,October '24,1890.0,3484.0,2256.0,1228.0,566061.0,300.0,162.0,1.84,Houghton,32,1
2025,November '24,1881.0,3474.0,2245.0,1229.0,552712.0,294.0,159.0,1.85,Houghton,32,1
2025,December '24,1873.0,3464.0,2237.0,1227.0,557916.0,298.0,161.0,1.85,Houghton,32,1
2025,January '25,1886.0,3462.0,2253.0,1209.0,543856.0,288.0,157.0,1.84,Houghton,32,1
2025,February '25,1881.0,3487.0,2256.0,1231.0,549135.0,292.0,157.0,1.85,Houghton,32,1
2025,March '25,1887.0,3518.0,2269.0,1249.0,543466.0,288.0,154.0,1.86,Houghton,32,1
2025,April '25,1874.0,3486.0,2256.0,1230.0,543153.0,290.0,156.0,1.86,Houghton,32,1
2025,May '25,1856.0,3454.0,2222.0,1232.0,535776.0,289.0,155.0,1.86,Houghton,32,1
2025,June '25,1864.0,3458.0,2225.0,1233.0,550424.0,295.0,159.0,1.86,Houghton,32,1
2025,July '25,1841.0,3460.0,2207.0,1253.0,559853.0,304.0,162.0,1.88,Houghton,32,1
2025,August '25,1804.0,3392.0,2158.0,1234.0,548575.0,304.0,162.0,1.88,Houghton,32,1
2025,September '25,1813.0,3389.0,2159.0,1230.0,538476.0,297.0,159.0,1.87,Houghton,32,1
