year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,1890.0,3379.0,2232.0,1147.0,542249.0,287.0,160.0,1.79,Huron,33,0
2025,November '24,1862.0,3340.0,2204.0,1136.0,539129.0,290.0,161.0,1.79,Huron,33,0
2025,December '24,1854.0,3314.0,2188.0,1126.0,535893.0,289.0,162.0,1.79,Huron,33,0
2025,January '25,1862.0,3343.0,2207.0,1136.0,531143.0,285.0,159.0,1.8,Huron,33,0
2025,February '25,1874.0,3378.0,2226.0,1152.0,542008.0,289.0,160.0,1.8,Huron,33,0
2025,March '25,1891.0,3376.0,2237.0,1139.0,537480.0,284.0,159.0,1.79,Huron,33,0
2025,April '25,1897.0,3426.0,2251.0,1175.0,545795.0,288.0,159.0,1.81,Huron,33,0
2025,May '25,1856.0,3348.0,2196.0,1152.0,532210.0,287.0,159.0,1.8,Huron,33,0
2025,June '25,1839.0,3344.0,2172.0,1172.0,528119.0,287.0,158.0,1.82,Huron,33,0
2025,July '25,1832.0,3349.0,2162.0,1187.0,541412.0,296.0,162.0,1.83,Huron,33,0
2025,August '25,1836.0,3318.0,2157.0,1161.0,540455.0,294.0,163.0,1.81,Huron,33,0
2025,September '25,1860.0,3371.0,2182.0,1189.0,539736.0,290.0,160.0,1.81,Huron,33,0
2025,October '24,1890.0,3379.0,2232.0,1147.0,542249.0,287.0,160.0,1.79,Huron,33,1
2025,November '24,1862.0,3340.0,2204.0,1136.0,539129.0,290.0,161.0,1.79,Huron,33,1
2025,December '24,1854.0,3314.0,2188.0,1126.0,535893.0,289.0,162.0,1.79,Huron,33,1
2025,January '25,1862.0,3343.0,2207.0,1136.0,531143.0,285.0,159.0,1.8,Huron,33,1
2025,February '25,1874.0,3378.0,2226.0,1152.0,542008.0,289.0,160.0,1.8,Huron,33,1
2025,March '25,1891.0,3376.0,2237.0,1139.0,537480.0,284.0,159.0,1.79,Huron,33,1
2025,April '25,1897.0,3426.0,2251.0,1175.0,545795.0,288.0,159.0,1.81,Huron,33,1
2025,May '25,1856.0,3348.0,2196.0,1152.0,532210.0,287.0,159.0,1.8,Huron,33,1
2025,June '25,1839.0,3344.0,2172.0,1172.0,528119.0,287.0,158.0,1.82,Huron,33,1
2025,July '25,1832.0,3349.0,2162.0,1187.0,541412.0,296.0,162.0,1.83,Huron,33,1
2025,August '25,1836.0,3318.0,2157.0,1161.0,540455.0,294.0,163.0,1.81,Huron,33,1
2025,September '25,1860.0,3371.0,2182.0,1189.0,539736.0,290.0,160.0,1.81,Huron,33,1
