year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,22906.0,43150.0,25912.0,17238.0,7805891.0,341.0,181.0,1.88,Ingham,34,0
2025,November '24,22898.0,43267.0,25988.0,17279.0,7759451.0,339.0,179.0,1.89,Ingham,34,0
2025,December '24,22838.0,43195.0,25958.0,17237.0,7710559.0,338.0,179.0,1.89,Ingham,34,0
2025,January '25,22737.0,42894.0,25824.0,17070.0,7650221.0,336.0,178.0,1.89,Ingham,34,0
2025,February '25,22888.0,43162.0,26020.0,17142.0,7731565.0,338.0,179.0,1.89,Ingham,34,0
2025,March '25,23019.0,43440.0,26183.0,17257.0,7594223.0,330.0,175.0,1.89,Ingham,34,0
2025,April '25,22942.0,43279.0,26099.0,17180.0,7746987.0,338.0,179.0,1.89,Ingham,34,0
2025,May '25,22890.0,43175.0,26047.0,17128.0,7532018.0,329.0,174.0,1.89,Ingham,34,0
2025,June '25,22846.0,43029.0,25963.0,17066.0,7738802.0,339.0,180.0,1.88,Ingham,34,0
2025,July '25,22672.0,42707.0,25743.0,16964.0,7807405.0,344.0,183.0,1.88,Ingham,34,0
2025,August '25,22572.0,42545.0,25607.0,16938.0,7826803.0,347.0,184.0,1.88,Ingham,34,0
2025,September '25,22504.0,42370.0,25483.0,16887.0,7777499.0,346.0,184.0,1.88,Ingham,34,0
2025,October '24,22906.0,43150.0,25912.0,17238.0,7805891.0,341.0,181.0,1.88,Ingham,34,1
2025,November '24,22898.0,43267.0,25988.0,17279.0,7759451.0,339.0,179.0,1.89,Ingham,34,1
2025,December '24,22838.0,43195.0,25958.0,17237.0,7710559.0,338.0,179.0,1.89,Ingham,34,1
2025,January '25,22737.0,42894.0,25824.0,17070.0,7650221.0,336.0,178.0,1.89,Ingham,34,1
2025,February '25,22888.0,43162.0,26020.0,17142.0,7731565.0,338.0,179.0,1.89,Ingham,34,1
2025,March '25,23019.0,43440.0,26183.0,17257.0,7594223.0,330.0,175.0,1.89,Ingham,34,1
2025,April '25,22942.0,43279.0,26099.0,17180.0,7746987.0,338.0,179.0,1.89,Ingham,34,1
2025,May '25,22890.0,43175.0,26047.0,17128.0,7532018.0,329.0,174.0,1.89,Ingham,34,1
2025,June '25,22846.0,43029.0,25963.0,17066.0,7738802.0,339.0,180.0,1.88,Ingham,34,1
2025,July '25,22672.0,42707.0,25743.0,16964.0,7807405.0,344.0,183.0,1.88,Ingham,34,1
2025,August '25,22572.0,42545.0,25607.0,16938.0,7826803.0,347.0,184.0,1.88,Ingham,34,1
2025,September '25,22504.0,42370.0,25483.0,16887.0,7777499.0,346.0,184.0,1.88,Ingham,34,1
