year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,3868.0,7272.0,4516.0,2756.0,1216598.0,315.0,167.0,1.88,Ionia,35,0
2025,November '24,3867.0,7264.0,4541.0,2723.0,1214542.0,314.0,167.0,1.88,Ionia,35,0
2025,December '24,3892.0,7338.0,4570.0,2768.0,1231790.0,316.0,168.0,1.89,Ionia,35,0
2025,January '25,3930.0,7454.0,4628.0,2826.0,1231458.0,313.0,165.0,1.9,Ionia,35,0
2025,February '25,3913.0,7431.0,4621.0,2810.0,1240717.0,317.0,167.0,1.9,Ionia,35,0
2025,March '25,3941.0,7404.0,4652.0,2752.0,1219821.0,310.0,165.0,1.88,Ionia,35,0
2025,April '25,3929.0,7339.0,4633.0,2706.0,1214523.0,309.0,165.0,1.87,Ionia,35,0
2025,May '25,3904.0,7298.0,4610.0,2688.0,1202889.0,308.0,165.0,1.87,Ionia,35,0
2025,June '25,3875.0,7241.0,4572.0,2669.0,1201707.0,310.0,166.0,1.87,Ionia,35,0
2025,July '25,3854.0,7233.0,4543.0,2690.0,1225318.0,318.0,169.0,1.88,Ionia,35,0
2025,August '25,3847.0,7228.0,4529.0,2699.0,1225353.0,319.0,170.0,1.88,Ionia,35,0
2025,September '25,3849.0,7238.0,4536.0,2702.0,1226998.0,319.0,170.0,1.88,Ionia,35,0
2025,October '24,3868.0,7272.0,4516.0,2756.0,1216598.0,315.0,167.0,1.88,Ionia,35,1
2025,November '24,3867.0,7264.0,4541.0,2723.0,1214542.0,314.0,167.0,1.88,Ionia,35,1
2025,December '24,3892.0,7338.0,4570.0,2768.0,1231790.0,316.0,168.0,1.89,Ionia,35,1
2025,January '25,3930.0,7454.0,4628.0,2826.0,1231458.0,313.0,165.0,1.9,Ionia,35,1
2025,February '25,3913.0,7431.0,4621.0,2810.0,1240717.0,317.0,167.0,1.9,Ionia,35,1
2025,March '25,3941.0,7404.0,4652.0,2752.0,1219821.0,310.0,165.0,1.88,Ionia,35,1
2025,April '25,3929.0,7339.0,4633.0,2706.0,1214523.0,309.0,165.0,1.87,Ionia,35,1
2025,May '25,3904.0,7298.0,4610.0,2688.0,1202889.0,308.0,165.0,1.87,Ionia,35,1
2025,June '25,3875.0,7241.0,4572.0,2669.0,1201707.0,310.0,166.0,1.87,Ionia,35,1
2025,July '25,3854.0,7233.0,4543.0,2690.0,1225318.0,318.0,169.0,1.88,Ionia,35,1
2025,August '25,3847.0,7228.0,4529.0,2699.0,1225353.0,319.0,170.0,1.88,Ionia,35,1
2025,September '25,3849.0,7238.0,4536.0,2702.0,1226998.0,319.0,170.0,1.88,Ionia,35,1
