year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,992.0,1808.0,1189.0,619.0,304781.0,307.0,169.0,1.82,Iron,37,0
2025,November '24,1010.0,1847.0,1226.0,621.0,307153.0,304.0,166.0,1.83,Iron,37,0
2025,December '24,1020.0,1873.0,1245.0,628.0,307961.0,302.0,164.0,1.84,Iron,37,0
2025,January '25,1015.0,1837.0,1236.0,601.0,302407.0,298.0,165.0,1.81,Iron,37,0
2025,February '25,1011.0,1842.0,1227.0,615.0,301826.0,299.0,164.0,1.82,Iron,37,0
2025,March '25,1018.0,1871.0,1239.0,632.0,302524.0,297.0,162.0,1.84,Iron,37,0
2025,April '25,1032.0,1912.0,1260.0,652.0,308791.0,299.0,162.0,1.85,Iron,37,0
2025,May '25,1030.0,1920.0,1258.0,662.0,306073.0,297.0,159.0,1.86,Iron,37,0
2025,June '25,1024.0,1891.0,1248.0,643.0,308799.0,302.0,163.0,1.85,Iron,37,0
2025,July '25,1025.0,1900.0,1244.0,656.0,314082.0,306.0,165.0,1.85,Iron,37,0
2025,August '25,1014.0,1868.0,1224.0,644.0,310502.0,306.0,166.0,1.84,Iron,37,0
2025,September '25,1012.0,1874.0,1221.0,653.0,305018.0,301.0,163.0,1.85,Iron,37,0
2025,October '24,992.0,1808.0,1189.0,619.0,304781.0,307.0,169.0,1.82,Iron,37,1
2025,November '24,1010.0,1847.0,1226.0,621.0,307153.0,304.0,166.0,1.83,Iron,37,1
2025,December '24,1020.0,1873.0,1245.0,628.0,307961.0,302.0,164.0,1.84,Iron,37,1
2025,January '25,1015.0,1837.0,1236.0,601.0,302407.0,298.0,165.0,1.81,Iron,37,1
2025,February '25,1011.0,1842.0,1227.0,615.0,301826.0,299.0,164.0,1.82,Iron,37,1
2025,March '25,1018.0,1871.0,1239.0,632.0,302524.0,297.0,162.0,1.84,Iron,37,1
2025,April '25,1032.0,1912.0,1260.0,652.0,308791.0,299.0,162.0,1.85,Iron,37,1
2025,May '25,1030.0,1920.0,1258.0,662.0,306073.0,297.0,159.0,1.86,Iron,37,1
2025,June '25,1024.0,1891.0,1248.0,643.0,308799.0,302.0,163.0,1.85,Iron,37,1
2025,July '25,1025.0,1900.0,1244.0,656.0,314082.0,306.0,165.0,1.85,Iron,37,1
2025,August '25,1014.0,1868.0,1224.0,644.0,310502.0,306.0,166.0,1.84,Iron,37,1
2025,September '25,1012.0,1874.0,1221.0,653.0,305018.0,301.0,163.0,1.85,Iron,37,1
