year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,4556.0,8455.0,5399.0,3056.0,1499464.0,329.0,177.0,1.86,Isabella,38,0
2025,November '24,4544.0,8454.0,5421.0,3033.0,1484583.0,327.0,176.0,1.86,Isabella,38,0
2025,December '24,4577.0,8497.0,5466.0,3031.0,1492115.0,326.0,176.0,1.86,Isabella,38,0
2025,January '25,4598.0,8557.0,5504.0,3053.0,1489763.0,324.0,174.0,1.86,Isabella,38,0
2025,February '25,4665.0,8658.0,5580.0,3078.0,1512165.0,324.0,175.0,1.86,Isabella,38,0
2025,March '25,4649.0,8598.0,5554.0,3044.0,1486500.0,320.0,173.0,1.85,Isabella,38,0
2025,April '25,4618.0,8562.0,5518.0,3044.0,1497325.0,324.0,175.0,1.85,Isabella,38,0
2025,May '25,4551.0,8448.0,5440.0,3008.0,1457997.0,320.0,173.0,1.86,Isabella,38,0
2025,June '25,4585.0,8478.0,5453.0,3025.0,1472966.0,321.0,174.0,1.85,Isabella,38,0
2025,July '25,4579.0,8476.0,5439.0,3037.0,1488309.0,325.0,176.0,1.85,Isabella,38,0
2025,August '25,4582.0,8466.0,5442.0,3024.0,1498174.0,327.0,177.0,1.85,Isabella,38,0
2025,September '25,4593.0,8527.0,5445.0,3082.0,1501279.0,327.0,176.0,1.86,Isabella,38,0
2025,October '24,4556.0,8455.0,5399.0,3056.0,1499464.0,329.0,177.0,1.86,Isabella,38,1
2025,November '24,4544.0,8454.0,5421.0,3033.0,1484583.0,327.0,176.0,1.86,Isabella,38,1
2025,December '24,4577.0,8497.0,5466.0,3031.0,1492115.0,326.0,176.0,1.86,Isabella,38,1
2025,January '25,4598.0,8557.0,5504.0,3053.0,1489763.0,324.0,174.0,1.86,Isabella,38,1
2025,February '25,4665.0,8658.0,5580.0,3078.0,1512165.0,324.0,175.0,1.86,Isabella,38,1
2025,March '25,4649.0,8598.0,5554.0,3044.0,1486500.0,320.0,173.0,1.85,Isabella,38,1
2025,April '25,4618.0,8562.0,5518.0,3044.0,1497325.0,324.0,175.0,1.85,Isabella,38,1
2025,May '25,4551.0,8448.0,5440.0,3008.0,1457997.0,320.0,173.0,1.86,Isabella,38,1
2025,June '25,4585.0,8478.0,5453.0,3025.0,1472966.0,321.0,174.0,1.85,Isabella,38,1
2025,July '25,4579.0,8476.0,5439.0,3037.0,1488309.0,325.0,176.0,1.85,Isabella,38,1
2025,August '25,4582.0,8466.0,5442.0,3024.0,1498174.0,327.0,177.0,1.85,Isabella,38,1
2025,September '25,4593.0,8527.0,5445.0,3082.0,1501279.0,327.0,176.0,1.86,Isabella,38,1
