year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,11734.0,22323.0,13452.0,8871.0,3824815.0,326.0,171.0,1.9,Jackson,39,0
2025,November '24,11789.0,22421.0,13576.0,8845.0,3838343.0,326.0,171.0,1.9,Jackson,39,0
2025,December '24,11837.0,22515.0,13641.0,8874.0,3864632.0,326.0,172.0,1.9,Jackson,39,0
2025,January '25,11962.0,22667.0,13792.0,8875.0,3843037.0,321.0,170.0,1.89,Jackson,39,0
2025,February '25,12037.0,22808.0,13875.0,8933.0,3903017.0,324.0,171.0,1.89,Jackson,39,0
2025,March '25,12015.0,22648.0,13813.0,8835.0,3844953.0,320.0,170.0,1.88,Jackson,39,0
2025,April '25,11973.0,22544.0,13786.0,8758.0,3862259.0,323.0,171.0,1.88,Jackson,39,0
2025,May '25,11938.0,22447.0,13706.0,8741.0,3795702.0,318.0,169.0,1.88,Jackson,39,0
2025,June '25,11828.0,22253.0,13558.0,8695.0,3798889.0,321.0,171.0,1.88,Jackson,39,0
2025,July '25,11817.0,22193.0,13515.0,8678.0,3845830.0,325.0,173.0,1.88,Jackson,39,0
2025,August '25,11907.0,22404.0,13612.0,8792.0,3895266.0,327.0,174.0,1.88,Jackson,39,0
2025,September '25,12003.0,22575.0,13704.0,8871.0,3885954.0,324.0,172.0,1.88,Jackson,39,0
2025,October '24,11734.0,22323.0,13452.0,8871.0,3824815.0,326.0,171.0,1.9,Jackson,39,1
2025,November '24,11789.0,22421.0,13576.0,8845.0,3838343.0,326.0,171.0,1.9,Jackson,39,1
2025,December '24,11837.0,22515.0,13641.0,8874.0,3864632.0,326.0,172.0,1.9,Jackson,39,1
2025,January '25,11962.0,22667.0,13792.0,8875.0,3843037.0,321.0,170.0,1.89,Jackson,39,1
2025,February '25,12037.0,22808.0,13875.0,8933.0,3903017.0,324.0,171.0,1.89,Jackson,39,1
2025,March '25,12015.0,22648.0,13813.0,8835.0,3844953.0,320.0,170.0,1.88,Jackson,39,1
2025,April '25,11973.0,22544.0,13786.0,8758.0,3862259.0,323.0,171.0,1.88,Jackson,39,1
2025,May '25,11938.0,22447.0,13706.0,8741.0,3795702.0,318.0,169.0,1.88,Jackson,39,1
2025,June '25,11828.0,22253.0,13558.0,8695.0,3798889.0,321.0,171.0,1.88,Jackson,39,1
2025,July '25,11817.0,22193.0,13515.0,8678.0,3845830.0,325.0,173.0,1.88,Jackson,39,1
2025,August '25,11907.0,22404.0,13612.0,8792.0,3895266.0,327.0,174.0,1.88,Jackson,39,1
2025,September '25,12003.0,22575.0,13704.0,8871.0,3885954.0,324.0,172.0,1.88,Jackson,39,1
