year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,1319.0,2464.0,1608.0,856.0,387415.0,294.0,157.0,1.87,Kalkaska,41,0
2025,November '24,1315.0,2472.0,1612.0,860.0,390183.0,297.0,158.0,1.88,Kalkaska,41,0
2025,December '24,1326.0,2476.0,1620.0,856.0,396490.0,299.0,160.0,1.87,Kalkaska,41,0
2025,January '25,1348.0,2519.0,1648.0,871.0,401011.0,297.0,159.0,1.87,Kalkaska,41,0
2025,February '25,1365.0,2539.0,1667.0,872.0,408548.0,299.0,161.0,1.86,Kalkaska,41,0
2025,March '25,1367.0,2553.0,1674.0,879.0,404595.0,296.0,158.0,1.87,Kalkaska,41,0
2025,April '25,1358.0,2549.0,1671.0,878.0,413658.0,305.0,162.0,1.88,Kalkaska,41,0
2025,May '25,1331.0,2481.0,1632.0,849.0,395424.0,297.0,159.0,1.86,Kalkaska,41,0
2025,June '25,1320.0,2456.0,1615.0,841.0,394149.0,299.0,160.0,1.86,Kalkaska,41,0
2025,July '25,1315.0,2436.0,1598.0,838.0,386863.0,294.0,159.0,1.85,Kalkaska,41,0
2025,August '25,1291.0,2361.0,1560.0,801.0,383827.0,297.0,163.0,1.83,Kalkaska,41,0
2025,September '25,1295.0,2363.0,1556.0,807.0,375247.0,290.0,159.0,1.82,Kalkaska,41,0
2025,October '24,1319.0,2464.0,1608.0,856.0,387415.0,294.0,157.0,1.87,Kalkaska,41,1
2025,November '24,1315.0,2472.0,1612.0,860.0,390183.0,297.0,158.0,1.88,Kalkaska,41,1
2025,December '24,1326.0,2476.0,1620.0,856.0,396490.0,299.0,160.0,1.87,Kalkaska,41,1
2025,January '25,1348.0,2519.0,1648.0,871.0,401011.0,297.0,159.0,1.87,Kalkaska,41,1
2025,February '25,1365.0,2539.0,1667.0,872.0,408548.0,299.0,161.0,1.86,Kalkaska,41,1
2025,March '25,1367.0,2553.0,1674.0,879.0,404595.0,296.0,158.0,1.87,Kalkaska,41,1
2025,April '25,1358.0,2549.0,1671.0,878.0,413658.0,305.0,162.0,1.88,Kalkaska,41,1
2025,May '25,1331.0,2481.0,1632.0,849.0,395424.0,297.0,159.0,1.86,Kalkaska,41,1
2025,June '25,1320.0,2456.0,1615.0,841.0,394149.0,299.0,160.0,1.86,Kalkaska,41,1
2025,July '25,1315.0,2436.0,1598.0,838.0,386863.0,294.0,159.0,1.85,Kalkaska,41,1
2025,August '25,1291.0,2361.0,1560.0,801.0,383827.0,297.0,163.0,1.83,Kalkaska,41,1
2025,September '25,1295.0,2363.0,1556.0,807.0,375247.0,290.0,159.0,1.82,Kalkaska,41,1
