year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,39898.0,75704.0,43652.0,32052.0,13481240.0,338.0,178.0,1.9,Kent,42,0
2025,November '24,39827.0,75883.0,43824.0,32059.0,13461319.0,338.0,177.0,1.91,Kent,42,0
2025,December '24,39888.0,75952.0,43924.0,32028.0,13556889.0,340.0,178.0,1.9,Kent,42,0
2025,January '25,40044.0,76134.0,44164.0,31970.0,13509817.0,337.0,177.0,1.9,Kent,42,0
2025,February '25,40278.0,76463.0,44470.0,31993.0,13565887.0,337.0,177.0,1.9,Kent,42,0
2025,March '25,40467.0,76678.0,44676.0,32002.0,13419045.0,332.0,175.0,1.89,Kent,42,0
2025,April '25,40341.0,76306.0,44558.0,31748.0,13531795.0,335.0,177.0,1.89,Kent,42,0
2025,May '25,40147.0,75887.0,44295.0,31592.0,13269905.0,331.0,175.0,1.89,Kent,42,0
2025,June '25,40466.0,76463.0,44624.0,31839.0,13622912.0,337.0,178.0,1.89,Kent,42,0
2025,July '25,40250.0,76132.0,44400.0,31732.0,13770207.0,342.0,181.0,1.89,Kent,42,0
2025,August '25,40315.0,76257.0,44429.0,31828.0,13866281.0,344.0,182.0,1.89,Kent,42,0
2025,September '25,40362.0,76200.0,44461.0,31739.0,13761917.0,341.0,181.0,1.89,Kent,42,0
2025,October '24,39898.0,75704.0,43652.0,32052.0,13481240.0,338.0,178.0,1.9,Kent,42,1
2025,November '24,39827.0,75883.0,43824.0,32059.0,13461319.0,338.0,177.0,1.91,Kent,42,1
2025,December '24,39888.0,75952.0,43924.0,32028.0,13556889.0,340.0,178.0,1.9,Kent,42,1
2025,January '25,40044.0,76134.0,44164.0,31970.0,13509817.0,337.0,177.0,1.9,Kent,42,1
2025,February '25,40278.0,76463.0,44470.0,31993.0,13565887.0,337.0,177.0,1.9,Kent,42,1
2025,March '25,40467.0,76678.0,44676.0,32002.0,13419045.0,332.0,175.0,1.89,Kent,42,1
2025,April '25,40341.0,76306.0,44558.0,31748.0,13531795.0,335.0,177.0,1.89,Kent,42,1
2025,May '25,40147.0,75887.0,44295.0,31592.0,13269905.0,331.0,175.0,1.89,Kent,42,1
2025,June '25,40466.0,76463.0,44624.0,31839.0,13622912.0,337.0,178.0,1.89,Kent,42,1
2025,July '25,40250.0,76132.0,44400.0,31732.0,13770207.0,342.0,181.0,1.89,Kent,42,1
2025,August '25,40315.0,76257.0,44429.0,31828.0,13866281.0,344.0,182.0,1.89,Kent,42,1
2025,September '25,40362.0,76200.0,44461.0,31739.0,13761917.0,341.0,181.0,1.89,Kent,42,1
