year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,116.0,203.0,143.0,60.0,28992.0,250.0,143.0,1.75,Keweenaw,43,0
2025,November '24,114.0,201.0,139.0,62.0,29191.0,256.0,145.0,1.76,Keweenaw,43,0
2025,December '24,118.0,208.0,144.0,64.0,29840.0,253.0,143.0,1.76,Keweenaw,43,0
2025,January '25,120.0,215.0,147.0,68.0,30980.0,258.0,144.0,1.79,Keweenaw,43,0
2025,February '25,116.0,205.0,141.0,64.0,29275.0,252.0,143.0,1.77,Keweenaw,43,0
2025,March '25,116.0,201.0,141.0,60.0,27309.0,235.0,136.0,1.73,Keweenaw,43,0
2025,April '25,116.0,194.0,139.0,55.0,28175.0,243.0,145.0,1.67,Keweenaw,43,0
2025,May '25,118.0,200.0,143.0,57.0,29637.0,251.0,148.0,1.69,Keweenaw,43,0
2025,June '25,118.0,193.0,143.0,50.0,28473.0,241.0,148.0,1.64,Keweenaw,43,0
2025,July '25,125.0,204.0,148.0,56.0,31034.0,248.0,152.0,1.63,Keweenaw,43,0
2025,August '25,124.0,200.0,147.0,53.0,30563.0,246.0,153.0,1.61,Keweenaw,43,0
2025,September '25,123.0,199.0,147.0,52.0,28870.0,235.0,145.0,1.62,Keweenaw,43,0
2025,October '24,116.0,203.0,143.0,60.0,28992.0,250.0,143.0,1.75,Keweenaw,43,1
2025,November '24,114.0,201.0,139.0,62.0,29191.0,256.0,145.0,1.76,Keweenaw,43,1
2025,December '24,118.0,208.0,144.0,64.0,29840.0,253.0,143.0,1.76,Keweenaw,43,1
2025,January '25,120.0,215.0,147.0,68.0,30980.0,258.0,144.0,1.79,Keweenaw,43,1
2025,February '25,116.0,205.0,141.0,64.0,29275.0,252.0,143.0,1.77,Keweenaw,43,1
2025,March '25,116.0,201.0,141.0,60.0,27309.0,235.0,136.0,1.73,Keweenaw,43,1
2025,April '25,116.0,194.0,139.0,55.0,28175.0,243.0,145.0,1.67,Keweenaw,43,1
2025,May '25,118.0,200.0,143.0,57.0,29637.0,251.0,148.0,1.69,Keweenaw,43,1
2025,June '25,118.0,193.0,143.0,50.0,28473.0,241.0,148.0,1.64,Keweenaw,43,1
2025,July '25,125.0,204.0,148.0,56.0,31034.0,248.0,152.0,1.63,Keweenaw,43,1
2025,August '25,124.0,200.0,147.0,53.0,30563.0,246.0,153.0,1.61,Keweenaw,43,1
2025,September '25,123.0,199.0,147.0,52.0,28870.0,235.0,145.0,1.62,Keweenaw,43,1
