year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,1581.0,2761.0,1933.0,828.0,456084.0,288.0,165.0,1.75,Lake,44,0
2025,November '24,1564.0,2759.0,1920.0,839.0,454420.0,291.0,165.0,1.76,Lake,44,0
2025,December '24,1601.0,2851.0,1963.0,888.0,471585.0,295.0,165.0,1.78,Lake,44,0
2025,January '25,1621.0,2871.0,1976.0,895.0,473977.0,292.0,165.0,1.77,Lake,44,0
2025,February '25,1612.0,2853.0,1964.0,889.0,480573.0,298.0,168.0,1.77,Lake,44,0
2025,March '25,1617.0,2892.0,1979.0,913.0,480889.0,297.0,166.0,1.79,Lake,44,0
2025,April '25,1607.0,2881.0,1973.0,908.0,474073.0,295.0,165.0,1.79,Lake,44,0
2025,May '25,1583.0,2825.0,1939.0,886.0,469552.0,297.0,166.0,1.78,Lake,44,0
2025,June '25,1583.0,2833.0,1939.0,894.0,471991.0,298.0,167.0,1.79,Lake,44,0
2025,July '25,1562.0,2775.0,1902.0,873.0,467571.0,299.0,168.0,1.78,Lake,44,0
2025,August '25,1555.0,2792.0,1901.0,891.0,464150.0,298.0,166.0,1.8,Lake,44,0
2025,September '25,1570.0,2803.0,1911.0,892.0,469505.0,299.0,168.0,1.79,Lake,44,0
2025,October '24,1581.0,2761.0,1933.0,828.0,456084.0,288.0,165.0,1.75,Lake,44,1
2025,November '24,1564.0,2759.0,1920.0,839.0,454420.0,291.0,165.0,1.76,Lake,44,1
2025,December '24,1601.0,2851.0,1963.0,888.0,471585.0,295.0,165.0,1.78,Lake,44,1
2025,January '25,1621.0,2871.0,1976.0,895.0,473977.0,292.0,165.0,1.77,Lake,44,1
2025,February '25,1612.0,2853.0,1964.0,889.0,480573.0,298.0,168.0,1.77,Lake,44,1
2025,March '25,1617.0,2892.0,1979.0,913.0,480889.0,297.0,166.0,1.79,Lake,44,1
2025,April '25,1607.0,2881.0,1973.0,908.0,474073.0,295.0,165.0,1.79,Lake,44,1
2025,May '25,1583.0,2825.0,1939.0,886.0,469552.0,297.0,166.0,1.78,Lake,44,1
2025,June '25,1583.0,2833.0,1939.0,894.0,471991.0,298.0,167.0,1.79,Lake,44,1
2025,July '25,1562.0,2775.0,1902.0,873.0,467571.0,299.0,168.0,1.78,Lake,44,1
2025,August '25,1555.0,2792.0,1901.0,891.0,464150.0,298.0,166.0,1.8,Lake,44,1
2025,September '25,1570.0,2803.0,1911.0,892.0,469505.0,299.0,168.0,1.79,Lake,44,1
