year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,401.0,769.0,448.0,321.0,119408.0,298.0,155.0,1.92,Leelanau,46,0
2025,November '24,386.0,730.0,437.0,293.0,117282.0,304.0,161.0,1.89,Leelanau,46,0
2025,December '24,393.0,758.0,449.0,309.0,120905.0,308.0,160.0,1.93,Leelanau,46,0
2025,January '25,412.0,786.0,469.0,317.0,123866.0,301.0,158.0,1.91,Leelanau,46,0
2025,February '25,409.0,801.0,470.0,331.0,126048.0,308.0,157.0,1.96,Leelanau,46,0
2025,March '25,428.0,830.0,492.0,338.0,126528.0,296.0,152.0,1.94,Leelanau,46,0
2025,April '25,419.0,798.0,479.0,319.0,126867.0,303.0,159.0,1.9,Leelanau,46,0
2025,May '25,409.0,781.0,467.0,314.0,126916.0,310.0,163.0,1.91,Leelanau,46,0
2025,June '25,404.0,780.0,461.0,319.0,120898.0,299.0,155.0,1.93,Leelanau,46,0
2025,July '25,391.0,752.0,446.0,306.0,121384.0,310.0,161.0,1.92,Leelanau,46,0
2025,August '25,388.0,755.0,444.0,311.0,114802.0,296.0,152.0,1.95,Leelanau,46,0
2025,September '25,389.0,743.0,445.0,298.0,119093.0,306.0,160.0,1.91,Leelanau,46,0
2025,October '24,401.0,769.0,448.0,321.0,119408.0,298.0,155.0,1.92,Leelanau,46,1
2025,November '24,386.0,730.0,437.0,293.0,117282.0,304.0,161.0,1.89,Leelanau,46,1
2025,December '24,393.0,758.0,449.0,309.0,120905.0,308.0,160.0,1.93,Leelanau,46,1
2025,January '25,412.0,786.0,469.0,317.0,123866.0,301.0,158.0,1.91,Leelanau,46,1
2025,February '25,409.0,801.0,470.0,331.0,126048.0,308.0,157.0,1.96,Leelanau,46,1
2025,March '25,428.0,830.0,492.0,338.0,126528.0,296.0,152.0,1.94,Leelanau,46,1
2025,April '25,419.0,798.0,479.0,319.0,126867.0,303.0,159.0,1.9,Leelanau,46,1
2025,May '25,409.0,781.0,467.0,314.0,126916.0,310.0,163.0,1.91,Leelanau,46,1
2025,June '25,404.0,780.0,461.0,319.0,120898.0,299.0,155.0,1.93,Leelanau,46,1
2025,July '25,391.0,752.0,446.0,306.0,121384.0,310.0,161.0,1.92,Leelanau,46,1
2025,August '25,388.0,755.0,444.0,311.0,114802.0,296.0,152.0,1.95,Leelanau,46,1
2025,September '25,389.0,743.0,445.0,298.0,119093.0,306.0,160.0,1.91,Leelanau,46,1
