year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,5725.0,11160.0,6660.0,4500.0,1947505.0,340.0,175.0,1.95,Lenawee,47,0
2025,November '24,5729.0,11148.0,6680.0,4468.0,1920850.0,335.0,172.0,1.95,Lenawee,47,0
2025,December '24,5695.0,11046.0,6649.0,4397.0,1904859.0,334.0,172.0,1.94,Lenawee,47,0
2025,January '25,5683.0,10970.0,6627.0,4343.0,1855542.0,327.0,169.0,1.93,Lenawee,47,0
2025,February '25,5727.0,11107.0,6697.0,4410.0,1877203.0,328.0,169.0,1.94,Lenawee,47,0
2025,March '25,5708.0,11055.0,6668.0,4387.0,1857702.0,325.0,168.0,1.94,Lenawee,47,0
2025,April '25,5713.0,11023.0,6666.0,4357.0,1880737.0,329.0,171.0,1.93,Lenawee,47,0
2025,May '25,5607.0,10855.0,6546.0,4309.0,1812466.0,323.0,167.0,1.94,Lenawee,47,0
2025,June '25,5628.0,10882.0,6567.0,4315.0,1852113.0,329.0,170.0,1.93,Lenawee,47,0
2025,July '25,5634.0,10955.0,6575.0,4380.0,1882337.0,334.0,172.0,1.94,Lenawee,47,0
2025,August '25,5680.0,11020.0,6611.0,4409.0,1912246.0,337.0,174.0,1.94,Lenawee,47,0
2025,September '25,5738.0,11193.0,6682.0,4511.0,1932185.0,337.0,173.0,1.95,Lenawee,47,0
2025,October '24,5725.0,11160.0,6660.0,4500.0,1947505.0,340.0,175.0,1.95,Lenawee,47,1
2025,November '24,5729.0,11148.0,6680.0,4468.0,1920850.0,335.0,172.0,1.95,Lenawee,47,1
2025,December '24,5695.0,11046.0,6649.0,4397.0,1904859.0,334.0,172.0,1.94,Lenawee,47,1
2025,January '25,5683.0,10970.0,6627.0,4343.0,1855542.0,327.0,169.0,1.93,Lenawee,47,1
2025,February '25,5727.0,11107.0,6697.0,4410.0,1877203.0,328.0,169.0,1.94,Lenawee,47,1
2025,March '25,5708.0,11055.0,6668.0,4387.0,1857702.0,325.0,168.0,1.94,Lenawee,47,1
2025,April '25,5713.0,11023.0,6666.0,4357.0,1880737.0,329.0,171.0,1.93,Lenawee,47,1
2025,May '25,5607.0,10855.0,6546.0,4309.0,1812466.0,323.0,167.0,1.94,Lenawee,47,1
2025,June '25,5628.0,10882.0,6567.0,4315.0,1852113.0,329.0,170.0,1.93,Lenawee,47,1
2025,July '25,5634.0,10955.0,6575.0,4380.0,1882337.0,334.0,172.0,1.94,Lenawee,47,1
2025,August '25,5680.0,11020.0,6611.0,4409.0,1912246.0,337.0,174.0,1.94,Lenawee,47,1
2025,September '25,5738.0,11193.0,6682.0,4511.0,1932185.0,337.0,173.0,1.95,Lenawee,47,1
