year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,496.0,899.0,598.0,301.0,147791.0,298.0,164.0,1.81,Luce,49,0
2025,November '24,483.0,885.0,585.0,300.0,147456.0,305.0,167.0,1.83,Luce,49,0
2025,December '24,482.0,881.0,585.0,296.0,145783.0,302.0,165.0,1.83,Luce,49,0
2025,January '25,485.0,888.0,588.0,300.0,145554.0,300.0,164.0,1.83,Luce,49,0
2025,February '25,483.0,862.0,579.0,283.0,142656.0,295.0,165.0,1.78,Luce,49,0
2025,March '25,488.0,884.0,586.0,298.0,144871.0,297.0,164.0,1.81,Luce,49,0
2025,April '25,496.0,899.0,596.0,303.0,151225.0,305.0,168.0,1.81,Luce,49,0
2025,May '25,497.0,904.0,595.0,309.0,147080.0,296.0,163.0,1.82,Luce,49,0
2025,June '25,496.0,910.0,598.0,312.0,149005.0,300.0,164.0,1.83,Luce,49,0
2025,July '25,480.0,872.0,574.0,298.0,145822.0,304.0,167.0,1.82,Luce,49,0
2025,August '25,489.0,880.0,582.0,298.0,144865.0,296.0,165.0,1.8,Luce,49,0
2025,September '25,487.0,869.0,581.0,288.0,145060.0,298.0,167.0,1.78,Luce,49,0
2025,October '24,496.0,899.0,598.0,301.0,147791.0,298.0,164.0,1.81,Luce,49,1
2025,November '24,483.0,885.0,585.0,300.0,147456.0,305.0,167.0,1.83,Luce,49,1
2025,December '24,482.0,881.0,585.0,296.0,145783.0,302.0,165.0,1.83,Luce,49,1
2025,January '25,485.0,888.0,588.0,300.0,145554.0,300.0,164.0,1.83,Luce,49,1
2025,February '25,483.0,862.0,579.0,283.0,142656.0,295.0,165.0,1.78,Luce,49,1
2025,March '25,488.0,884.0,586.0,298.0,144871.0,297.0,164.0,1.81,Luce,49,1
2025,April '25,496.0,899.0,596.0,303.0,151225.0,305.0,168.0,1.81,Luce,49,1
2025,May '25,497.0,904.0,595.0,309.0,147080.0,296.0,163.0,1.82,Luce,49,1
2025,June '25,496.0,910.0,598.0,312.0,149005.0,300.0,164.0,1.83,Luce,49,1
2025,July '25,480.0,872.0,574.0,298.0,145822.0,304.0,167.0,1.82,Luce,49,1
2025,August '25,489.0,880.0,582.0,298.0,144865.0,296.0,165.0,1.8,Luce,49,1
2025,September '25,487.0,869.0,581.0,288.0,145060.0,298.0,167.0,1.78,Luce,49,1
